parameter,train_median,train_min,train_max,train_span,allowed_margin,validation_median,validation_min,validation_max,median_inside_extended_train_range
f_mel,0.09441473261127661,0.05211566961778226,0.14189122418297254,0.08977555456519028,0.017955110913038055,0.08472927321943187,0.061325474712272,0.10842746709169833,True
f_blood,0.0976137250438617,0.027635030629482277,0.09999999999999999,0.07236496937051771,0.014472993874103543,0.07163591064267734,0.057012894744688514,0.08800887188056061,True
