cohort,subject_id,capture_id,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,reference_rmse,reference_sam_deg,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,prediction_above_one_count,A_s,delta_bs,g0,diameter_um,s0
train,p003,p003_neutral_front,True,10,7,1,1.8597369194088514e-09,0.08016363968709692,0.0650097648874683,9.751464733120246,0.057822930297110164,0.021456395896572954,3.4957447354452986,0.0577333428347188,-0.0032175135234032786,0.12340827471942915,0.043125906326051594,2.4770334890448495,0.468549863682736,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p004,p004_neutral_front,True,20,7,1,2.3925692023928423e-09,0.0988228258528511,0.055269103632681976,8.290365544902297,0.05475959968528338,0.016725812006438266,3.1745280524717328,0.054724281364131405,-0.0019664147252977772,0.05239002138069065,0.013822448668199873,2.610073796150957,1.0452295731542893,False,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p005,p005_neutral_front,True,11,13,2,4.569668763491219e-08,0.11197302971397659,0.0857190324295255,12.857854864428825,0.05981983341459952,0.016889463604490642,3.4940521057898994,0.05978981485278614,-0.0018948640109493467,0.13623325389533408,0.03132025593132531,2.89002982306285,0.4390986172917677,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p006,p006_neutral_front,True,2,9,1,7.694351868528435e-09,0.11151542961926689,0.08432801673221064,12.649202509831596,0.0546759286599046,0.014428110830925643,3.126084509766158,0.05466253227348653,-0.0012102645467092046,0.12872707769759528,0.032329278492265134,2.0795607496800534,0.42474302716906925,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p007,p007_neutral_front,True,11,17,2,1.7492891515600024e-08,0.12434523415507985,0.09615332941319138,14.422999411978706,0.07028957365269049,0.01572881673137516,3.738983025705444,0.07025892577514081,-0.0020754549381417015,0.21671278963033877,0.05494426121911172,2.4398370594494883,0.32434437198002036,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p008,p008_neutral_front,True,0,7,1,1.2241157304530085e-09,0.07795799867865724,0.09999999999999999,14.999999999999998,0.23186304748937955,0.07616873925071498,13.574426063326172,0.2307172492969898,0.023022242894491094,0.227489002727138,0.06772162979434838,13.074739975293825,1.0192274998343018,False,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p009,p009_neutral_front,True,25,10,2,2.390759974217017e-08,0.13901334749589506,0.09999999999999999,14.999999999999998,0.1041610508970535,0.02218573064757958,5.653284621275604,0.10415841783575534,-0.000740619963797809,0.30807710204979577,0.08075466326581697,3.464445309493684,0.3381005930139447,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p010,p010_neutral_front,True,7,12,1,2.75348798892298e-09,0.08360524560494702,0.09999999999999999,14.999999999999998,0.06886047434725721,0.023896224566179524,3.9557597929465786,0.06876829189463966,-0.003561875520411264,0.0712509927880684,0.028812943663954083,3.0408584139415025,0.9664493314791889,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p011,p011_neutral_front,True,11,10,2,6.656561808124984e-08,0.05305158192422001,0.03882888021050741,5.824332031576112,0.0696657597985652,0.03617524137567408,4.273441499916952,0.06892240946868063,-0.010149855237534464,0.3833045747488353,0.14087235877239057,2.488424304646948,0.1817504000420931,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p012,p012_neutral_front,True,3,14,1,2.125921591950791e-09,0.07317789907590548,0.090476462754947,13.57146941324205,0.04833279609060001,0.015348879765966847,2.633166789124662,0.04833086872196706,-0.0004316323846815178,0.13213432762972116,0.03982326933974507,1.41751335158866,0.36578531073350273,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
