candidate,parameter,frozen_value,identifiable,acceptable_normalized_span,acceptable_envelope_low,acceptable_envelope_high,at_boundary
V2R-PS,A_s,1.483455915077612,False,0.40000000000000013,1.2,1.6,False
V2R-PS,delta_bs,0.4999999999999999,False,0.4,0.09999999999999998,0.5,True
