candidate,parameter,value,centered_logrmse,solver_success,nfev,grid_kind,normalized_value
V2R-PS,delta_bs,-0.42,0.07985256775003888,True,26,uniform_or_exact_optimum,0.08000000000000002
V2R-PS,delta_bs,-0.4,0.0793504045966372,True,27,uniform_or_exact_optimum,0.09999999999999998
V2R-PS,delta_bs,-0.38,0.07885209084780026,True,26,uniform_or_exact_optimum,0.12
V2R-PS,delta_bs,-0.36,0.07835765827830803,True,26,uniform_or_exact_optimum,0.14
V2R-PS,delta_bs,-0.33999999999999997,0.077867155258837,True,26,uniform_or_exact_optimum,0.16000000000000003
V2R-PS,delta_bs,-0.32,0.0773806440535817,True,33,uniform_or_exact_optimum,0.18
V2R-PS,delta_bs,-0.3,0.07689820197969974,True,32,uniform_or_exact_optimum,0.2
V2R-PS,delta_bs,-0.28,0.07641992667712207,True,30,uniform_or_exact_optimum,0.21999999999999997
V2R-PS,delta_bs,-0.26,0.07594594404296601,True,31,uniform_or_exact_optimum,0.24
V2R-PS,delta_bs,-0.24,0.07547642010142279,True,35,uniform_or_exact_optimum,0.26
V2R-PS,delta_bs,-0.21999999999999997,0.07501157660393001,True,51,uniform_or_exact_optimum,0.28
V2R-PS,delta_bs,-0.2,0.07455170293741305,True,44,uniform_or_exact_optimum,0.3
V2R-PS,delta_bs,-0.18,0.07409714876425627,True,51,uniform_or_exact_optimum,0.32
V2R-PS,delta_bs,-0.15999999999999998,0.07364828333120912,True,62,uniform_or_exact_optimum,0.34
V2R-PS,delta_bs,-0.14,0.07320544614624763,True,59,uniform_or_exact_optimum,0.36
V2R-PS,delta_bs,-0.12,0.072763905900121,True,15,uniform_or_exact_optimum,0.38
V2R-PS,delta_bs,-0.09999999999999998,0.07232684459692729,True,16,uniform_or_exact_optimum,0.4
V2R-PS,delta_bs,-0.08000000000000002,0.07189654638427735,True,18,uniform_or_exact_optimum,0.42
V2R-PS,delta_bs,-0.06,0.07145046224467305,True,12,uniform_or_exact_optimum,0.44
V2R-PS,delta_bs,-0.03999999999999998,0.07103422960087945,True,14,uniform_or_exact_optimum,0.46
V2R-PS,delta_bs,-0.020000000000000018,0.07062610340279583,True,13,uniform_or_exact_optimum,0.48
V2R-PS,delta_bs,0.0,0.07022601051708804,True,14,uniform_or_exact_optimum,0.5
V2R-PS,delta_bs,0.020000000000000018,0.0698343908430619,True,16,uniform_or_exact_optimum,0.52
V2R-PS,delta_bs,0.040000000000000036,0.06945182881896941,True,18,uniform_or_exact_optimum,0.54
V2R-PS,delta_bs,0.06000000000000005,0.0690788553806165,True,20,uniform_or_exact_optimum,0.56
V2R-PS,delta_bs,0.07999999999999996,0.0687160970637907,True,22,uniform_or_exact_optimum,0.58
