epoch,train_loss,inner_val_macro_auc
1,0.6545612350106239,0.817946505608283
2,0.40227398872375486,0.8774805867126833
3,0.30565989315509795,0.8559102674719585
4,0.24090364202857018,0.833477135461605
5,0.21361498162150383,0.823123382226057
6,0.23350297063589096,0.8826574633304574
7,0.21268896460533143,0.82053494391717
8,0.20619938150048256,0.824849007765315
9,0.1963030219078064,0.8446937014667817
10,0.19760938212275506,0.8662640207075064
11,0.20405704006552697,0.8421052631578947
12,0.19948334246873856,0.82053494391717
13,0.199676301330328,0.8628127696289905
14,0.19203778505325317,0.823123382226057
15,0.19357901215553283,0.8403796376186368
16,0.18876546248793602,0.8472821397756687
