epoch,train_loss,inner_val_loss,inner_val_macro_auc
1,0.6422291114926338,0.5048708498477936,0.8886971527178602
2,0.3862529397010803,0.4440415740013123,0.9387402933563416
3,0.34648594483733175,0.5866998434066772,0.8843830888697153
4,0.2786959297955036,0.553110134601593,0.8421052631578948
5,0.24515320137143135,0.5614091217517853,0.8429680759275237
6,0.22295038849115373,0.6819304645061492,0.8610871440897325
7,0.22983592748641968,0.6511099815368653,0.8774805867126834
8,0.21009118631482124,0.5363946259021759,0.894736842105263
9,0.20655421391129494,0.5126335799694062,0.8895599654874893
10,0.21085786521434785,0.5986734509468079,0.900776531492666
11,0.1919667787849903,0.595630306005478,0.8878343399482311
12,0.20330871790647506,0.5087198674678802,0.9042277825711821
