epoch,lambda_pair,train_total_loss,train_supervised_loss,train_pair_loss,validation_masked_smooth_l1,learning_rate,val_masked_smooth_l1_M,val_masked_smooth_l1_H,val_mae_M,val_mae_H,val_rmse_M,val_rmse_H,val_mean_predictor_mae_M,val_mean_predictor_mae_H,val_prediction_mean_M,val_prediction_mean_H,val_target_mean_M,val_target_mean_H,val_prediction_variance_M,val_prediction_variance_H,val_target_variance_M,val_target_variance_H,val_variance_ratio_M,val_variance_ratio_H,val_zero_saturation_fraction_M,val_zero_saturation_fraction_H,val_one_saturation_fraction_M,val_one_saturation_fraction_H,val_pearson_M,val_pearson_H,val_spearman_M,val_spearman_H
1,0.5,0.1111066066559404,0.1098690996959805,0.002475013982394,0.107932115312882,0.0009960612933065,0.0137200891114736,0.2021441415142904,0.0414238985712327,0.2488045060031187,0.0527521810406614,0.2885425038356283,0.252887744794012,0.2503388462931982,0.5241065664402408,0.5268147286412093,0.4971986025939059,0.4981203812081786,0.0914862601989252,0.0008643971085854,0.0850524944576342,0.0839673794791777,1.0756446449021628,0.0102944395067109,0.0,0.0,0.0,0.0,0.9905980229377748,0.219126895070076,0.9964511400186224,0.2131431986661039
2,0.5,0.1043319762557744,0.102226557334885,0.0042108377926342,0.099052583966144,0.0009843072889837,0.007295900504529,0.190809267427759,0.0290526609596753,0.2372027987562948,0.0385662077207591,0.2759394753417733,0.252887744794012,0.2503388462931982,0.4777846461022359,0.5079505138546739,0.4971986025939059,0.4981203812081786,0.0781592112652458,0.0032669012699029,0.0850524944576342,0.0839673794791777,0.9189526040788604,0.0389067908295638,0.0,0.0,0.0,0.0,0.9952845573425292,0.3955177068710327,0.9964187939778876,0.3680466656419747
3,0.5,0.1020382427770644,0.0987018077116459,0.0066728701715241,0.0928403054910388,0.0009649233547011,0.0040361227566053,0.1816444882254724,0.0218600774226933,0.2278309920390856,0.0293799753068027,0.2657956035646813,0.252887744794012,0.2503388462931982,0.5049671100638983,0.5133680375053162,0.4971986025939059,0.4981203812081786,0.0827882607808435,0.0041074784507395,0.0850524944576342,0.0839673794791777,0.9733783977621192,0.0489175496033924,0.0,0.0,0.0,0.0,0.9968233704566956,0.4817376434803009,0.9971974124627694,0.4232376248048752
4,0.5,0.1000983284302055,0.0952420583862811,0.0097125401678145,0.0955794498508661,0.0009382151866819,0.005013393751741,0.1861455059499912,0.0250358594070621,0.2326003078962692,0.0317340613180871,0.2709181864836262,0.252887744794012,0.2503388462931982,0.4781518903081551,0.4733796473732832,0.4971986025939059,0.4981203812081786,0.0817128871106631,0.0037030491399016,0.0850524944576342,0.0839673794791777,0.9607347513054464,0.0441010445112189,0.0,0.0,0.0,0.0,0.9969653487205504,0.4322623014450073,0.9974631631609596,0.3942978526917077
5,0.5,0.0994121817745268,0.0938166349463164,0.0111910935782361,0.0913655634702226,0.0009046039886902,0.0039446369732052,0.1787864899672401,0.0215260492392163,0.2249232008590626,0.0300531734703638,0.2631769950564694,0.252887744794012,0.2503388462931982,0.4915335313706147,0.4891431071953359,0.4971986025939059,0.4981203812081786,0.089376105653277,0.0042060701323022,0.0850524944576342,0.0839673794791777,1.0508346195277836,0.0500917160734462,0.0,0.0,0.0,0.0,0.9970657825469972,0.5185267329216003,0.9976434315986428,0.4840005412584173
6,0.5,0.09796615347340704,0.09121803598031401,0.013496234927640762,0.09079441981675195,0.0008646198293969955,0.004413200589857198,0.1771756390436467,0.02315660892239887,0.22319814171478033,0.029874108790715538,0.26168947966715855,0.2528877486005862,0.2503388421722539,0.4866512507059713,0.5036871886448681,0.4971985955571778,0.49812037766567546,0.0839005587271407,0.00472881583927276,0.08505253101984322,0.08396739866040759,0.9864557552974671,0.05631728402588345,0.0,0.0,0.0,0.0,0.9962255358695984,0.5146751403808594,0.9975282751948179,0.4855912815257933
7,0.5,0.09642231100350618,0.0891530191924423,0.014538583756779553,0.0859210645440339,0.0008188932828794708,0.002843144073793288,0.16899898501427452,0.018565713104416504,0.21482338322942604,0.023940520573692607,0.2540904948316585,0.2528877486005862,0.2503388421722539,0.49408216095825114,0.48436965557705947,0.4971985955571778,0.49812037766567546,0.08728556437709817,0.008431011941522376,0.08505253101984322,0.08396739866040759,1.0262547549200383,0.10040815930978432,0.0,0.0,0.0,0.0,0.997390627861023,0.5314821600914001,0.9977168034528529,0.5148605559922618
8,0.5,0.09387105614356697,0.08552810203395785,0.0166859084040625,0.0825429523564678,0.000768145484092009,0.00417247321700425,0.16091343149593135,0.022837191910752393,0.20643065987329237,0.029030623202321925,0.24553371893521386,0.2528877486005862,0.2503388421722539,0.485991344871785,0.5274082554045866,0.4971985955571778,0.49812037766567546,0.08643536052676101,0.010991487444032333,0.08505253101984322,0.08396739866040759,1.016258534464955,0.13090184547083097,0.0,0.0,0.0,0.0,0.9966825246810913,0.5881616473197937,0.9974276575424968,0.603379334760767
9,0.5,0.08185168804489076,0.07097065203320235,0.021762071974063293,0.05900362677599048,0.0007131767561367541,0.0040068439183435865,0.11400040963363736,0.02173982797210039,0.1574367736312785,0.028687431771158897,0.1990361161418747,0.2528877486005862,0.2503388421722539,0.5018685964889658,0.4689217328227484,0.4971985955571778,0.49812037766567546,0.08528844416422016,0.03161019871254431,0.08505253101984322,0.08396739866040759,1.0027737345561403,0.3764579969946025,4.046932645796267e-08,0.0,0.0,0.0,0.9969550967216492,0.7500321865081787,0.9973778659405425,0.7396280257621607
10,0.5,0.06498533756658435,0.05321239343471825,0.02354588831944857,0.05111885597204579,0.0006548539886902865,0.0036353453334580337,0.09860236661063354,0.021084483297591848,0.13969832798793316,0.027106168607893843,0.19586243672135045,0.2528877486005862,0.2503388421722539,0.49070963629600506,0.48195593307688656,0.4971985955571778,0.49812037766567546,0.08935078562490711,0.04731985330997751,0.08505253101984322,0.08396739866040759,1.0505364690918026,0.5635503072014285,1.103708903398982e-08,0.0,0.0,0.0,0.9973742961883545,0.7446783781051636,0.9977073176879202,0.7365770092601297
11,0.5,0.06061797745283693,0.049307642087712884,0.022620670642866752,0.0475846436609974,0.0005940969666355698,0.0047308903724485344,0.09043839694954627,0.024943094069984326,0.12934574980897645,0.03080828081630599,0.19774781150869397,0.2528877486005862,0.2503388421722539,0.49060082916393644,0.5372623793197787,0.4971985955571778,0.49812037766567546,0.09265876629476644,0.04586686189886441,0.08505253101984322,0.08396739866040759,1.0894298521598216,0.5462460744361681,0.0,0.0,0.0,0.0,0.9966301321983337,0.7493762969970703,0.9978479035210247,0.7442903920089528
12,0.5,0.05737829771339893,0.04611144408285618,0.022533707226789556,0.04612499232247455,0.0005318638645048923,0.003103694105973467,0.08914629053897563,0.01886551391065696,0.12734393013233491,0.025050575665749544,0.20381529688308161,0.2528877486005862,0.2503388421722539,0.5007039078716473,0.5711835561922807,0.4971985955571778,0.49812037766567546,0.08860313722117802,0.048701396262704755,0.08505253101984322,0.08396739866040759,1.0417460381103347,0.580003632834567,0.0,0.0,0.0,0.0,0.9974948763847351,0.7589503526687622,0.9980236244123997,0.7537776113244447
13,0.5,0.0553311747957021,0.04402763649895787,0.02260707666715607,0.04103918965870594,0.0004691361354951082,0.003173010201382847,0.07890536911602904,0.0201780036673078,0.11712198725624934,0.025266053958848858,0.17849144422049282,0.2528877486005862,0.2503388421722539,0.5091998737654858,0.5196155714919625,0.4971985955571778,0.49812037766567546,0.08345387101020935,0.0502371229785506,0.08505253101984322,0.08396739866040759,0.9812038514261157,0.5982931921200325,0.0,0.0,0.0,0.0,0.997786819934845,0.796184778213501,0.9981969261264736,0.787649506217834
14,0.5,0.05279975292328745,0.04180299764899537,0.021993510477221572,0.04206260566148984,0.00040690303336443076,0.003526935245310973,0.0805982760776687,0.02035073658747791,0.11814411391366371,0.026599131519111675,0.18717988080685335,0.2528877486005862,0.2503388421722539,0.48258462675891106,0.5569471172163919,0.4971985955571778,0.49812037766567546,0.08062431749112778,0.048927231796474124,0.08505253101984322,0.08396739866040759,0.9479355467072189,0.5826931949428648,0.0,0.0,0.0,0.0,0.9981167912483215,0.7955269813537598,0.9982823253469242,0.7897678097383066
15,0.5,0.05022466339059174,0.039732197334710506,0.020984932032367214,0.03869682690297324,0.0003461460113097141,0.002187405760736388,0.07520624804521009,0.015996333997778667,0.11302736513076721,0.020953323211196615,0.17421698823078088,0.2528877486005862,0.2503388421722539,0.49806205932104675,0.49615199463020326,0.4971985955571778,0.49812037766567546,0.08314823984855799,0.05821554912337151,0.08505253101984322,0.08396739866040759,0.9776104114898009,0.6933113333523023,0.0,0.0,0.0,0.0,0.9980647563934326,0.8028634190559387,0.99824412863102,0.7983712535723049
