camera_name,illuminant_name,camera_light_qualified,m,h,observation_space,sigma_max,sigma_min,sigma_ratio,condition_number,numerical_rank,finite,status
Canon 1DMarkIII,D65,True,0.5,0.8,linear_srgb_unclipped,0.608536567246,0.0144802292454,0.0237951670036,42.0253406858,2,True,PASS
Canon 1DMarkIII,D65,True,0.5,0.8,chromaticity,0.413130885166,0.0173152776119,0.0419123290792,23.8593278391,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.2,camera_rgb_wb,0.4416227339,0.00917810650086,0.0207826857549,48.1169764001,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.2,linear_srgb_unclipped,0.504926735752,0.0195297704075,0.0386784240657,25.8542074595,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.2,chromaticity,0.367591088341,0.0259949445017,0.0707170149827,14.1408683645,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.35,camera_rgb_wb,0.425094279775,0.00761823136981,0.0179212747202,55.7996021831,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.35,linear_srgb_unclipped,0.490551747613,0.016123708516,0.0328685171228,30.4242505454,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.35,chromaticity,0.366324087724,0.0224546882047,0.0612973292153,16.3139244858,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.5,camera_rgb_wb,0.410895456485,0.00648333754988,0.0157785574105,63.3771500132,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.5,linear_srgb_unclipped,0.478108245778,0.0136569464918,0.0285645491631,35.0084293048,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.5,chromaticity,0.365224093803,0.019808484486,0.054236521692,18.4377605496,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.65,camera_rgb_wb,0.398433063619,0.00561937855589,0.0141036953732,70.9034032244,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.65,linear_srgb_unclipped,0.467106562668,0.0117868472544,0.0252337436388,39.6294744971,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.65,chromaticity,0.364210359279,0.0177423320743,0.0487145179217,20.5277613874,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.8,camera_rgb_wb,0.387322291111,0.00493925620809,0.0127523158916,78.4171289751,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.8,linear_srgb_unclipped,0.457228991523,0.0103202923036,0.0225713865371,44.3038799746,2,True,PASS
Canon 1DMarkIII,D65,True,0.65,0.8,chromaticity,0.363244070317,0.0160763147461,0.0442576109557,22.5949837419,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.2,camera_rgb_wb,0.316437115987,0.00683175309933,0.0215896073949,46.3185819783,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.2,linear_srgb_unclipped,0.384167491242,0.0141325845864,0.0367875598757,27.1831022057,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.2,chromaticity,0.323879004479,0.0235245011766,0.0726336096235,13.7677310158,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.35,camera_rgb_wb,0.305393881671,0.00565633939485,0.0185214561729,53.9914351584,2,True,PASS
