m,h,shading,specular,illuminant_name,deltae00
0.0,0.2,1.5,0.03,FL2,0.0479169962911
0.0,0.2,1.5,0.03,FL11,0.145188792388
0.0,0.2,1.5,0.1,D65,0.0808185980965
0.0,0.2,1.5,0.1,A,0.0418982178465
0.0,0.2,1.5,0.1,FL2,0.0459532764935
0.0,0.2,1.5,0.1,FL11,0.140310764869
0.0,0.3,0.5,0.0,D65,0.0653220023445
0.0,0.3,0.5,0.0,A,0.0337724244745
0.0,0.3,0.5,0.0,FL2,0.0375885355804
0.0,0.3,0.5,0.0,FL11,0.117856809896
0.0,0.3,0.5,0.03,D65,0.0610883954775
0.0,0.3,0.5,0.03,A,0.0317747113779
0.0,0.3,0.5,0.03,FL2,0.0351485013034
0.0,0.3,0.5,0.03,FL11,0.1114099479
0.0,0.3,0.5,0.1,D65,0.0534571765986
0.0,0.3,0.5,0.1,A,0.0281826300026
0.0,0.3,0.5,0.1,FL2,0.0307184750848
0.0,0.3,0.5,0.1,FL11,0.0993604290239
0.0,0.3,1.0,0.0,D65,0.0795248484455
0.0,0.3,1.0,0.0,A,0.0402595362806
0.0,0.3,1.0,0.0,FL2,0.0452888003116
0.0,0.3,1.0,0.0,FL11,0.137220149268
0.0,0.3,1.0,0.03,D65,0.0769761530859
0.0,0.3,1.0,0.03,A,0.0390473967795
0.0,0.3,1.0,0.03,FL2,0.0439053000372
0.0,0.3,1.0,0.03,FL11,0.133831952094
0.0,0.3,1.0,0.1,D65,0.0717516748153
0.0,0.3,1.0,0.1,A,0.0365984536343
0.0,0.3,1.0,0.1,FL2,0.0410161545539
0.0,0.3,1.0,0.1,FL11,0.126628153828
0.0,0.3,1.5,0.0,D65,0.0886578371395
0.0,0.3,1.5,0.0,A,0.0445272583829
0.0,0.3,1.5,0.0,FL2,0.049940773146
0.0,0.3,1.5,0.0,FL11,0.148370195962
0.0,0.3,1.5,0.03,D65,0.0868327783431
0.0,0.3,1.5,0.03,A,0.0436256541217
0.0,0.3,1.5,0.03,FL2,0.0490175836171
0.0,0.3,1.5,0.03,FL11,0.146150068859
0.0,0.3,1.5,0.1,D65,0.0829067594791
0.0,0.3,1.5,0.1,A,0.0417249323522
0.0,0.3,1.5,0.1,FL2,0.046981466781
0.0,0.3,1.5,0.1,FL11,0.141260015165
0.0,0.4,0.5,0.0,D65,0.0667555529489
0.0,0.4,0.5,0.0,A,0.0337254066087
0.0,0.4,0.5,0.0,FL2,0.0382442815586
0.0,0.4,0.5,0.0,FL11,0.119141477536
0.0,0.4,0.5,0.03,D65,0.0623400125756
0.0,0.4,0.5,0.03,A,0.0317090653239
0.0,0.4,0.5,0.03,FL2,0.0357015366514
0.0,0.4,0.5,0.03,FL11,0.112607728316
0.0,0.4,0.5,0.1,D65,0.0544333979713
0.0,0.4,0.5,0.1,A,0.0281147434545
0.0,0.4,0.5,0.1,FL2,0.0311112039982
0.0,0.4,0.5,0.1,FL11,0.100426817951
0.0,0.4,1.0,0.0,D65,0.081029419473
0.0,0.4,1.0,0.0,A,0.0400478257928
0.0,0.4,1.0,0.0,FL2,0.0459756480493
0.0,0.4,1.0,0.0,FL11,0.137835597658
0.0,0.4,1.0,0.03,D65,0.0783837996527
0.0,0.4,1.0,0.03,A,0.0388185437895
0.0,0.4,1.0,0.03,FL2,0.0445465505443
0.0,0.4,1.0,0.03,FL11,0.134435653026
0.0,0.4,1.0,0.1,D65,0.07297837308
0.0,0.4,1.0,0.1,A,0.0363544693023
0.0,0.4,1.0,0.1,FL2,0.0415639708473
0.0,0.4,1.0,0.1,FL11,0.127230602075
0.0,0.4,1.5,0.0,D65,0.0901432023163
0.0,0.4,1.5,0.0,A,0.0442352186127
0.0,0.4,1.5,0.0,FL2,0.0505915733775
0.0,0.4,1.5,0.0,FL11,0.148640524433
0.0,0.4,1.5,0.03,D65,0.0882574080855
0.0,0.4,1.5,0.03,A,0.0433136858046
0.0,0.4,1.5,0.03,FL2,0.049647766987
0.0,0.4,1.5,0.03,FL11,0.146373504463
0.0,0.4,1.5,0.1,D65,0.0842081736898
0.0,0.4,1.5,0.1,A,0.0413837547438
0.0,0.4,1.5,0.1,FL2,0.0475632032554
0.0,0.4,1.5,0.1,FL11,0.141438109323
0.0,0.5,0.5,0.0,D65,0.0677388400039
0.0,0.5,0.5,0.0,A,0.0335626652275
0.0,0.5,0.5,0.0,FL2,0.0386463146893
0.0,0.5,0.5,0.0,FL11,0.11985769187
0.0,0.5,0.5,0.03,D65,0.0631758271217
0.0,0.5,0.5,0.03,A,0.0315329020669
0.0,0.5,0.5,0.03,FL2,0.0360230120024
0.0,0.5,0.5,0.03,FL11,0.113267802505
0.0,0.5,0.5,0.1,D65,0.0550570972984
