epoch,train_loss,inner_val_macro_ovr_auc
1,1.0026926678549908,0.633887090193601
2,0.6054691263127103,0.6521233744108542
3,0.3920374359456723,0.6408467979567991
4,0.28232477862259436,0.6045433141911207
5,0.24700615342507914,0.5868956274156258
6,0.230134616170931,0.5880918328997453
7,0.2142450258743053,0.585840539082139
8,0.2130591349915651,0.5782872984327954
9,0.21221654766405637,0.6052465236192088
10,0.2076882349566606,0.580895041011715
11,0.20468048055343868,0.5868089829474913
12,0.1985805896475771,0.6047005172345717
