case_id,patch_id,shape,dtype,unique,binary_0_255,valid_fraction,pass
100037382,P01,"(256, 256)",uint8,"[0, 255]",True,0.3060150146484375,True
100037382,P02,"(256, 256)",uint8,"[0, 255]",True,0.9896697998046875,True
100037382,P03,"(256, 256)",uint8,"[0, 255]",True,0.99786376953125,True
100037382,P04,"(256, 256)",uint8,"[0, 255]",True,0.271636962890625,True
100037382,P05,"(256, 256)",uint8,"[0, 255]",True,0.5864410400390625,True
100037382,P06,"(256, 256)",uint8,"[0, 255]",True,0.68603515625,True
100037382,P07,"(256, 256)",uint8,"[0, 255]",True,0.76336669921875,True
100037382,P08,"(256, 256)",uint8,"[0, 255]",True,0.496002197265625,True
100037382,P09,"(256, 256)",uint8,"[0, 255]",True,0.8038330078125,True
100037382,P10,"(256, 256)",uint8,"[0, 255]",True,0.934478759765625,True
100037382,P11,"(256, 256)",uint8,"[0, 255]",True,0.9271392822265625,True
100037382,P12,"(256, 256)",uint8,"[0, 255]",True,0.849365234375,True
100037382,P13,"(256, 256)",uint8,"[0, 255]",True,0.6539306640625,True
100037382,P14,"(256, 256)",uint8,"[0, 255]",True,0.6444244384765625,True
100037382,P15,"(256, 256)",uint8,"[0, 255]",True,0.60137939453125,True
100037382,P16,"(256, 256)",uint8,"[0, 255]",True,0.6807098388671875,True
100037382,P17,"(256, 256)",uint8,"[0, 255]",True,0.1294097900390625,True
100037382,P18,"(256, 256)",uint8,"[0, 255]",True,0.7252044677734375,True
100037382,P19,"(256, 256)",uint8,"[0, 255]",True,0.721282958984375,True
100037382,P20,"(256, 256)",uint8,"[0, 255]",True,0.1439971923828125,True
100643124,P01,"(256, 256)",uint8,"[0, 255]",True,0.8582916259765625,True
100643124,P02,"(256, 256)",uint8,[255],True,1.0,True
100643124,P03,"(256, 256)",uint8,"[0, 255]",True,0.98907470703125,True
100643124,P04,"(256, 256)",uint8,"[0, 255]",True,0.7919769287109375,True
100643124,P05,"(256, 256)",uint8,"[0, 255]",True,0.6354827880859375,True
100643124,P06,"(256, 256)",uint8,"[0, 255]",True,0.7825927734375,True
100643124,P07,"(256, 256)",uint8,"[0, 255]",True,0.70062255859375,True
100643124,P08,"(256, 256)",uint8,"[0, 255]",True,0.7184906005859375,True
100643124,P09,"(256, 256)",uint8,"[0, 255]",True,0.7147216796875,True
100643124,P10,"(256, 256)",uint8,"[0, 255]",True,0.9774169921875,True
100643124,P11,"(256, 256)",uint8,"[0, 255]",True,0.97467041015625,True
100643124,P12,"(256, 256)",uint8,"[0, 255]",True,0.78790283203125,True
100643124,P13,"(256, 256)",uint8,"[0, 255]",True,0.522705078125,True
100643124,P14,"(256, 256)",uint8,"[0, 255]",True,0.67254638671875,True
100643124,P15,"(256, 256)",uint8,"[0, 255]",True,0.7145538330078125,True
100643124,P16,"(256, 256)",uint8,"[0, 255]",True,0.6284332275390625,True
100643124,P17,"(256, 256)",uint8,"[0, 255]",True,0.1074676513671875,True
100643124,P18,"(256, 256)",uint8,"[0, 255]",True,0.732391357421875,True
