case_id,patch_id,shape,dtype,finite,min,max,hwc_to_chw_shape,range_ok,full_slice_equal,pass
100960732,P13,"(256, 256, 3)",float32,True,0.0,0.7708600759506226,"(3, 256, 256)",True,True,True
100960732,P14,"(256, 256, 3)",float32,True,0.0,1.0,"(3, 256, 256)",True,True,True
100960732,P15,"(256, 256, 3)",float32,True,0.0,0.6730144023895264,"(3, 256, 256)",True,True,True
100960732,P16,"(256, 256, 3)",float32,True,0.0,0.23455066978931427,"(3, 256, 256)",True,True,True
100960732,P17,"(256, 256, 3)",float32,True,0.0,0.5979265570640564,"(3, 256, 256)",True,True,True
100960732,P18,"(256, 256, 3)",float32,True,0.0,0.6444797515869141,"(3, 256, 256)",True,True,True
100960732,P19,"(256, 256, 3)",float32,True,0.0,0.42753860354423523,"(3, 256, 256)",True,True,True
100960732,P20,"(256, 256, 3)",float32,True,0.0,0.18782076239585876,"(3, 256, 256)",True,True,True
101044067,P01,"(256, 256, 3)",float32,True,0.0,0.7372877597808838,"(3, 256, 256)",True,True,True
101044067,P02,"(256, 256, 3)",float32,True,0.0,0.916695237159729,"(3, 256, 256)",True,True,True
101044067,P03,"(256, 256, 3)",float32,True,0.0,0.8862159252166748,"(3, 256, 256)",True,True,True
101044067,P04,"(256, 256, 3)",float32,True,0.0,0.8293578028678894,"(3, 256, 256)",True,True,True
101044067,P05,"(256, 256, 3)",float32,True,0.0,0.837107241153717,"(3, 256, 256)",True,True,True
101044067,P06,"(256, 256, 3)",float32,True,0.0,0.9078513383865356,"(3, 256, 256)",True,True,True
101044067,P07,"(256, 256, 3)",float32,True,0.0,0.9481568336486816,"(3, 256, 256)",True,True,True
101044067,P08,"(256, 256, 3)",float32,True,0.0,0.7504453659057617,"(3, 256, 256)",True,True,True
101044067,P09,"(256, 256, 3)",float32,True,0.0,0.9434374570846558,"(3, 256, 256)",True,True,True
101044067,P10,"(256, 256, 3)",float32,True,0.0,0.9434374570846558,"(3, 256, 256)",True,True,True
101044067,P11,"(256, 256, 3)",float32,True,0.0,0.9971010088920593,"(3, 256, 256)",True,True,True
101044067,P12,"(256, 256, 3)",float32,True,0.0,0.8713672161102295,"(3, 256, 256)",True,True,True
101044067,P13,"(256, 256, 3)",float32,True,0.0,0.918208658695221,"(3, 256, 256)",True,True,True
101044067,P14,"(256, 256, 3)",float32,True,0.0,0.930942714214325,"(3, 256, 256)",True,True,True
101044067,P15,"(256, 256, 3)",float32,True,0.0,0.937622606754303,"(3, 256, 256)",True,True,True
101044067,P16,"(256, 256, 3)",float32,True,0.0,0.8207752704620361,"(3, 256, 256)",True,True,True
