epoch,train_loss,inner_val_macro_auc
1,0.8729071155190468,0.8317515099223468
2,0.4979022115468979,0.8360655737704917
3,0.386019740998745,0.8757549611734253
4,0.3137040600180626,0.816220880069025
5,0.2566425308585167,0.8213977566867989
6,0.24724880680441857,0.7903364969801552
7,0.2752873755991459,0.823123382226057
8,0.2566863313317299,0.8446937014667817
9,0.2308551400899887,0.815358067299396
10,0.21926701366901397,0.8541846419327005
11,0.225749484449625,0.8464193270060397
12,0.21585800796747207,0.8334771354616048
13,0.20039570406079293,0.8421052631578947
