ID,status,failure_code,warning_codes,roll_angle_degrees,residual_roll_degrees,aligned_face_width_fraction,aligned_face_height_fraction,skin_fraction,hair_fraction_in_face_region,source_valid_fraction
100037382,success,,face_near_canvas_border,-2.7184296692865733,0.0,0.9441330432891846,0.9132317543029785,0.6317520141601562,0.016813002054922473,1.0
200887343-1,success,,face_near_canvas_border,3.14487741393365,0.0,0.963901937007904,0.9569241523742675,0.6364982604980469,0.007457668008624719,1.0
201885444,success,,face_near_canvas_border,1.0194177996033618,0.0,0.9645196199417114,0.9315644264221191,0.6464561462402344,0.007161423741880369,1.0
203214852,success,,face_near_canvas_border,-1.5634633917368213,0.0,0.9605148434638977,0.9319316864013671,0.6278739929199219,0.002873599728945641,1.0
204238693,success,,,-2.783228456913521,0.0,0.9377907514572144,0.9566109657287598,0.6438148498535157,0.006505000900596879,1.0
205200934-1,success,,high_skin_fraction;face_near_canvas_border,7.802730280704148,0.0,0.9503455758094788,0.9380023956298829,0.668450927734375,0.004045009235563411,1.0
206248971,success,,high_skin_fraction;face_near_canvas_border,1.9263838260055235,0.0,0.9735538363456726,0.9619636535644531,0.6777633666992188,0.010480167861088867,1.0
9300198023,success,,high_skin_fraction;face_near_canvas_border,-1.6547715886843768,0.0,0.9455736875534058,0.8946998596191407,0.6605278015136719,0.009936138098220327,1.0
9300800427,success,,face_near_canvas_border,-5.29313708570944,0.0,0.9459744691848755,0.9150579452514649,0.6470756530761719,0.012622823619073499,1.0
A000104693,success,,face_near_canvas_border,0.9904121805736764,0.0,0.9465276002883911,0.8871275901794433,0.641436767578125,0.011907913313567697,1.0
A000477213,success,,high_skin_fraction;face_near_canvas_border,-0.4014681755567034,0.0,0.9407496452331543,0.9417059898376465,0.6622230529785156,5.27960804189897e-06,1.0
A001093486,success,,face_near_canvas_border,3.3658745769310663,0.0,0.9640011787414551,0.9053481101989747,0.5994216918945312,0.011928598444181157,1.0
A001393665,success,,high_skin_fraction;face_near_canvas_border,4.6540126810758595,0.0,0.9426586627960205,0.9049581527709961,0.6518440246582031,0.009471022192275464,1.0
A001560256,success,,face_near_canvas_border,4.465441061906383,0.0,0.9595840573310852,0.9273321151733398,0.6462577819824219,0.011709651643176524,1.0
A001604824,success,,,-2.9849935232359215,0.0,0.9357771873474121,0.9559819221496582,0.6102088928222656,0.0018767443930690323,1.0
A001613504,success,,high_skin_fraction;face_near_canvas_border,-1.6434571144136552,0.0,0.9497018456459045,0.9513601303100586,0.6757278442382812,0.00748913232306699,1.0
A001627943,success,,high_skin_fraction;face_near_canvas_border,-9.381178342968756,0.0,0.9595962166786194,0.948084545135498,0.6619499206542969,0.0009178853571502238,1.0
A001636890,success,,face_near_canvas_border,-0.9006407785925198,0.0,0.9436662197113037,0.9008636474609375,0.5483024597167969,0.09041686861674024,1.0
A001647049,success,,,5.094983937912588,0.0,0.9303810000419617,0.9556645393371582,0.6134414672851562,0.004053524954513001,1.0
A001670882,success,,face_near_canvas_border,0.10978028240918396,0.0,0.9466274380683899,0.8529388427734375,0.5606071472167968,0.026093183651145328,1.0
A001698538,success,,face_near_canvas_border,-5.449943412575187,0.0,0.962158739566803,0.9408801078796387,0.6392532348632812,0.0055267882158830306,1.0
A001758297,success,,face_near_canvas_border,-6.4430915458752045,0.0,0.9487478733062744,0.9146269798278809,0.6248275756835937,0.011678026406035664,1.0
A001813366,success,,high_skin_fraction;face_near_canvas_border,0.9077573568793965,0.0,0.9446551203727722,0.8853298187255859,0.7055351257324218,0.001547396444950216,1.0
A001866164,success,,high_skin_fraction;face_near_canvas_border,1.138421725307376,0.0,0.9556260704994202,0.9496533393859863,0.6798973083496094,0.01739059223656301,1.0
A001906652,success,,,2.2872078845367487,0.0,0.9323204159736633,0.9564144134521484,0.6446624755859375,0.016956418244975426,1.0
A001923658,success,,face_near_canvas_border,-3.018163517535735,0.0,0.9497643113136292,0.9415080070495605,0.6290451049804687,0.03810402686295701,1.0
A001970601,success,,,-3.2284065620588858,0.0,0.9234053492546082,0.9567296981811524,0.6132164001464844,0.01577121382058021,1.0
A002012347,success,,bottom_invalid_area,-5.7512395373067395,0.0,0.9350433349609375,0.9582119941711426,0.5640907287597656,0.023495706926773555,0.9928016662597656
A002081031,success,,face_near_canvas_border,2.6277946371292678,0.0,0.9502474069595337,0.9221468925476074,0.6257987976074219,0.030062553893964086,1.0
A002145202-1,success,,face_near_canvas_border,-0.40388019625801,0.0,0.9406344890594482,0.9350051879882812,0.6211532592773438,0.017105986383534107,1.0
A002337238,success,,high_skin_fraction;face_near_canvas_border,-1.0470404273825384,0.0,0.9481812119483948,0.8802919387817383,0.6886711120605469,0.0002712113621870843,1.0
A002366013,success,,face_near_canvas_border,-1.7369847932187263,0.0,0.9484008550643921,0.9309446334838867,0.6474777221679687,0.001163008978256695,1.0
