condition,scope,macro_auc,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,sensitivity,specificity
RGB,pooled_oof,0.8369960474308301,0.778,0.7077205882352942,0.7552230378317335,0.7216300940438871,0.7552230378317335,0.7974025974025974,0.7130434782608696
RGB_B1MH,pooled_oof,0.7986222473178994,0.76,0.6791736524638183,0.7099943534726143,0.6896915534040837,0.7099943534726143,0.8025974025974026,0.6173913043478261
RGB_B2MH,pooled_oof,0.8400451722190853,0.782,0.7023809523809523,0.730378317334839,0.7131201473878142,0.730378317334839,0.825974025974026,0.6347826086956522
