case_id,model,channel,orientation,position,seam_abs_first_difference,matched_local_reference_difference,seam_amplification_ratio,valid_pair_count
100037382,B1_baseline,M_sensitive,vertical,241,0.049822576344013214,0.005638547241687775,8.836066135408286,938
100037382,B1_baseline,M_sensitive,vertical,482,0.02417653799057007,0.006155610084533691,3.9275616315249375,1019
100037382,B1_baseline,M_sensitive,vertical,723,0.01892121136188507,0.005801200866699219,3.261602518753898,956
100037382,B1_baseline,M_sensitive,horizontal,241,0.022400103509426117,0.00828135758638382,2.704883018643152,720
100037382,B1_baseline,M_sensitive,horizontal,482,0.015096299350261688,0.006684496998786926,2.2584046863575367,886
100037382,B1_baseline,M_sensitive,horizontal,723,0.01591116189956665,0.004953593015670776,3.2120446403286205,643
100037382,B1_baseline,M_sensitive,horizontal,964,0.01198790967464447,0.00560230016708374,2.139819237630196,463
100037382,B1_baseline,H_sensitive,vertical,241,0.011750925332307816,0.003193408250808716,3.6797441497347556,938
100037382,B1_baseline,H_sensitive,vertical,482,0.015511661767959595,0.003125488758087158,4.962955545068089,1019
100037382,B1_baseline,H_sensitive,vertical,723,0.018774881958961487,0.0032145678997039795,5.840561636557701,956
100037382,B1_baseline,H_sensitive,horizontal,241,0.03564012050628662,0.006632030010223389,5.373938363664341,720
100037382,B1_baseline,H_sensitive,horizontal,482,0.013768576085567474,0.002878919243812561,4.782550295697479,886
100037382,B1_baseline,H_sensitive,horizontal,723,0.0361446887254715,0.003315165638923645,10.902830401651961,643
100037382,B1_baseline,H_sensitive,horizontal,964,0.0567302405834198,0.005496293306350708,10.321545341757714,463
100037382,B2_proposed_lambda_0p50,M_sensitive,vertical,241,0.030782490968704224,0.004835501313209534,6.365935808609387,938
100037382,B2_proposed_lambda_0p50,M_sensitive,vertical,482,0.019218534231185913,0.004939258098602295,3.8909759003550293,1019
100037382,B2_proposed_lambda_0p50,M_sensitive,vertical,723,0.016346320509910583,0.005244255065917969,3.1169957031699567,956
100037382,B2_proposed_lambda_0p50,M_sensitive,horizontal,241,0.02788429707288742,0.006735809147357941,4.139710086602597,720
100037382,B2_proposed_lambda_0p50,M_sensitive,horizontal,482,0.01590988039970398,0.005375117063522339,2.9599132835105637,886
