case_id,channel,masked_mae,masked_rmse,pearson,spearman,mean_difference,std_ratio,valid_pixel_count
100037382,M_sensitive,0.05219728872179985,0.06912579387426376,0.6428125500679016,0.6095787870071719,-0.01497301273047924,1.433195991971892,759430
100037382,H_sensitive,0.03770577535033226,0.05602052062749863,0.7097694873809814,0.7485959553915071,0.013515572063624859,1.9400466772856448,759430
100643124,M_sensitive,0.04063594713807106,0.05252377316355705,0.8617200255393982,0.8136252681049975,0.01751202531158924,1.1844806830617567,848398
100643124,H_sensitive,0.02474571391940117,0.03154211863875389,0.8328230381011963,0.7881825282678792,0.010274721309542656,1.4288094085182754,848398
100960732,M_sensitive,0.0682346373796463,0.08708100020885468,0.870497465133667,0.8755786747722566,-0.004131965339183807,1.2728755141105188,729502
100960732,H_sensitive,0.06736849248409271,0.09380828589200974,0.8211326599121094,0.8336030843734769,0.04655568301677704,2.4922156562577897,729502
101044067,M_sensitive,0.04729949310421944,0.0601678304374218,0.8904129266738892,0.8713787548592442,-0.022301247343420982,1.0269865589813452,768245
101044067,H_sensitive,0.0351514033973217,0.04614533483982086,0.690641462802887,0.6850609567236424,-0.008217419497668743,1.5656486560046712,768245
101295911,M_sensitive,0.046461235731840134,0.06381530314683914,0.8049413561820984,0.8064242490783257,0.002450877334922552,1.3602019305695727,787995
101295911,H_sensitive,0.0390159972012043,0.055392563343048096,0.7284611463546753,0.6904750725391802,0.020385872572660446,1.8277576000476463,787995
101377780,M_sensitive,0.03458448871970177,0.04327566176652908,0.8207054734230042,0.7464531470021464,0.008111482486128807,0.9909702616409887,803361
101377780,H_sensitive,0.0207618847489357,0.03208025172352791,0.8013619780540466,0.7938129510063073,0.004017784260213375,1.303032922489076,803361
101588739,M_sensitive,0.049666594713926315,0.0623946338891983,0.80366051197052,0.8155751955515649,-0.012939589098095894,1.4739953052135613,775319
101588739,H_sensitive,0.03865109011530876,0.052973270416259766,0.7350884675979614,0.754057168382787,0.005858961958438158,1.9213609328859487,775319
101737098,M_sensitive,0.04378306120634079,0.05904098600149155,0.8270204663276672,0.8366034950128235,0.0024845071602612734,1.163277563115568,776791
101737098,H_sensitive,0.03610599413514137,0.05573256313800812,0.6052237153053284,0.6555786490214652,0.003492365824058652,1.6634501053614985,776791
102400553,M_sensitive,0.03461430221796036,0.04381931945681572,0.9075111746788025,0.8847904317050822,-0.016000881791114807,0.9537492230004674,744820
102400553,H_sensitive,0.027220355346798897,0.042272504419088364,0.6445199847221375,0.7041726703437099,-0.0013170770835131407,1.4463004772262629,744820
200088422,M_sensitive,0.032147061079740524,0.0411655530333519,0.8545213937759399,0.8149640981693217,0.007744790520519018,1.1042657169224483,793667
200088422,H_sensitive,0.028064580634236336,0.040154486894607544,0.774994432926178,0.7614904449538145,0.003141974098980427,1.5670142850738449,793667
200378127,M_sensitive,0.06253550946712494,0.07833785563707352,0.735020101070404,0.700905678284417,-0.01605590060353279,1.379384688809127,614281
200378127,H_sensitive,0.039512988179922104,0.05871143192052841,0.7660793662071228,0.7656268993191281,0.01853366568684578,1.996840746501895,614281
200563014,M_sensitive,0.041461244225502014,0.05288553982973099,0.8817193508148193,0.8897766321511034,-0.011561389081180096,1.1182734391035267,724052
200563014,H_sensitive,0.03575892746448517,0.05552702769637108,0.6349705457687378,0.6924067596207387,-0.0028414372354745865,1.8564812989358173,724052
200732328,M_sensitive,0.05869383364915848,0.07396035641431808,0.9326008558273315,0.9409040030911183,-0.02308916486799717,1.184782467613869,719511
200732328,H_sensitive,0.06595160812139511,0.08881289511919022,0.7336485385894775,0.7670960475676816,0.04755617678165436,2.7202550310608076,719511
200734233,M_sensitive,0.029733460396528244,0.03794138506054878,0.8511524200439453,0.7958208721960964,-0.011431858874857426,1.087322052349118,765994
200734233,H_sensitive,0.027581321075558662,0.04280324652791023,0.8355064988136292,0.7742107340504032,-0.002753299195319414,1.345963817684891,765994
200869357,M_sensitive,0.036862898617982864,0.04842142388224602,0.9251168370246887,0.9379701381831169,-0.018548907712101936,1.0294541807839692,761069
200869357,H_sensitive,0.03196713328361511,0.04008766636252403,0.7637795805931091,0.7316258520625125,-0.012175536714494228,1.5207267095011954,761069
200887343,M_sensitive,0.04515548050403595,0.060266442596912384,0.825036883354187,0.8559607155717948,0.004083027131855488,1.2478459766830299,699649
200887343,H_sensitive,0.03487791493535042,0.05004188045859337,0.7432340979576111,0.7638858209888251,0.012579656206071377,1.8060104847608274,699649
