case_id,model,channel,map_mean,map_median,map_std,map_dynamic_range,input_luminance_mean
100037382,B1_baseline,M_sensitive,0.2594856917858124,0.23875769972801208,0.08787184208631516,0.437654232084751,0.16928844153881073
100037382,B1_baseline,H_sensitive,0.2366781085729599,0.2408411204814911,0.07439772039651871,0.34579378202557537,0.16928844153881073
100037382,B2_proposed_lambda_0p50,M_sensitive,0.27445873618125916,0.2731613367795944,0.061311811208724976,0.32656894005835047,0.16928844153881073
100037382,B2_proposed_lambda_0p50,H_sensitive,0.2231624573469162,0.2328086793422699,0.03834841772913933,0.140939506292343,0.16928844153881073
100643124,B1_baseline,M_sensitive,0.21643605828285217,0.1925751194357872,0.09753779321908951,0.4976243527233602,0.2506941556930542
100643124,B1_baseline,H_sensitive,0.22043253481388092,0.2361694499850273,0.05238505080342293,0.2207747185230255,0.2506941556930542
100643124,B2_proposed_lambda_0p50,M_sensitive,0.1989240199327469,0.1825963780283928,0.08234646171331406,0.42918990921229133,0.2506941556930542
100643124,B2_proposed_lambda_0p50,H_sensitive,0.21015779674053192,0.22114399820566177,0.03666342794895172,0.12819447904825212,0.2506941556930542
100960732,B1_baseline,M_sensitive,0.3070661127567291,0.2709481567144394,0.17416171729564667,0.7027588025480509,0.2248755395412445
100960732,B1_baseline,H_sensitive,0.2738163471221924,0.2528378367424011,0.11493971198797226,0.41919866397976874,0.2248755395412445
100960732,B2_proposed_lambda_0p50,M_sensitive,0.3111981749534607,0.328274667263031,0.13682541251182556,0.594114016331732,0.2248755395412445
100960732,B2_proposed_lambda_0p50,H_sensitive,0.2272607535123825,0.23335350304841995,0.04611948877573013,0.19781364873051638,0.2248755395412445
101044067,B1_baseline,M_sensitive,0.23917768895626068,0.21644893288612366,0.12077022343873978,0.5659901985526081,0.3988526165485382
101044067,B1_baseline,H_sensitive,0.2141702026128769,0.22129671275615692,0.06262629479169846,0.27542373627424194,0.3988526165485382
101044067,B2_proposed_lambda_0p50,M_sensitive,0.26147890090942383,0.24567297101020813,0.11759669333696365,0.5643248796463013,0.3988526165485382
101044067,B2_proposed_lambda_0p50,H_sensitive,0.22238761186599731,0.22956745326519012,0.040000222623348236,0.16009292304515838,0.3988526165485382
101295911,B1_baseline,M_sensitive,0.2767176330089569,0.24853450059890747,0.10673574358224869,0.5089763647317885,0.24091047048568726
101295911,B1_baseline,H_sensitive,0.2481217384338379,0.2511283755302429,0.07267701625823975,0.35500784173607625,0.24091047048568726
101295911,B2_proposed_lambda_0p50,M_sensitive,0.2742667496204376,0.2684659957885742,0.07847051322460175,0.35145114094018925,0.24091047048568726
101295911,B2_proposed_lambda_0p50,H_sensitive,0.22773586213588715,0.23480290174484253,0.039762940257787704,0.17116811752319333,0.24091047048568726
101377780,B1_baseline,M_sensitive,0.21619446575641632,0.19911906123161316,0.07065773010253906,0.35092311054468217,0.298650324344635
101377780,B1_baseline,H_sensitive,0.2264493703842163,0.2385619729757309,0.05312217399477959,0.21307381540536882,0.298650324344635
101377780,B2_proposed_lambda_0p50,M_sensitive,0.208082914352417,0.20231671631336212,0.07130156457424164,0.3692834764719013,0.298650324344635
101377780,B2_proposed_lambda_0p50,H_sensitive,0.22243154048919678,0.2319263219833374,0.0407680980861187,0.1455543875694275,0.298650324344635
101588739,B1_baseline,M_sensitive,0.22118514776229858,0.1982518583536148,0.10037155449390411,0.4925853838771578,0.2343701422214508
101588739,B1_baseline,H_sensitive,0.23084422945976257,0.23288440704345703,0.0740344449877739,0.3232415369153022,0.2343701422214508
101588739,B2_proposed_lambda_0p50,M_sensitive,0.23412464559078217,0.23843984305858612,0.0680948942899704,0.3557819464802741,0.2343701422214508
101588739,B2_proposed_lambda_0p50,H_sensitive,0.22498531639575958,0.23544056713581085,0.03853229433298111,0.15388816356658935,0.2343701422214508
101737098,B1_baseline,M_sensitive,0.22359336912631989,0.19294537603855133,0.10475379973649979,0.4707470886409278,0.3913281261920929
101737098,B1_baseline,H_sensitive,0.22314466536045074,0.23067164421081543,0.0698724016547203,0.2796378888189792,0.3913281261920929
101737098,B2_proposed_lambda_0p50,M_sensitive,0.22110889852046967,0.20577166974544525,0.09005056321620941,0.39571881443262097,0.3913281261920929
101737098,B2_proposed_lambda_0p50,H_sensitive,0.21965226531028748,0.2289288341999054,0.042004507035017014,0.1530494883656501,0.3913281261920929
102400553,B1_baseline,M_sensitive,0.22978632152080536,0.2119600474834442,0.09207266569137573,0.4566631963849067,0.31164297461509705
102400553,B1_baseline,H_sensitive,0.2279505878686905,0.23492666333913803,0.05515747517347336,0.22746754348277975,0.31164297461509705
102400553,B2_proposed_lambda_0p50,M_sensitive,0.24578721821308136,0.23621723800897598,0.09653760492801666,0.49107910655438897,0.31164297461509705
102400553,B2_proposed_lambda_0p50,H_sensitive,0.2292676419019699,0.2378150150179863,0.03813694044947624,0.15249567031860342,0.31164297461509705
200088422,B1_baseline,M_sensitive,0.18906323611736298,0.17780224978923798,0.07746497541666031,0.39162228658795356,0.28003960847854614
200088422,B1_baseline,H_sensitive,0.21699175238609314,0.22826004028320312,0.061909355223178864,0.31036100775003383,0.28003960847854614
200088422,B2_proposed_lambda_0p50,M_sensitive,0.1813184916973114,0.1748625636100769,0.07015066593885422,0.36197163380682446,0.28003960847854614
200088422,B2_proposed_lambda_0p50,H_sensitive,0.21384978294372559,0.22308044135570526,0.03950784355401993,0.14510691583156587,0.28003960847854614
200378127,B1_baseline,M_sensitive,0.30091428756713867,0.28402459621429443,0.11306971311569214,0.511748395860194,0.19125528633594513
200378127,B1_baseline,H_sensitive,0.23903150856494904,0.24349932372570038,0.08011797815561295,0.34594598859548553,0.19125528633594513
200378127,B2_proposed_lambda_0p50,M_sensitive,0.31697022914886475,0.321114182472229,0.08197112381458282,0.43201181441545383,0.19125528633594513
200378127,B2_proposed_lambda_0p50,H_sensitive,0.22049777209758759,0.23124559223651886,0.040122367441654205,0.1520478129386901,0.19125528633594513
200563014,B1_baseline,M_sensitive,0.2221032828092575,0.19421911984682083,0.10934913903474808,0.47284866150468574,0.3196002244949341
200563014,B1_baseline,H_sensitive,0.2182597517967224,0.22444480657577515,0.07123059779405594,0.32798943713307377,0.3196002244949341
200563014,B2_proposed_lambda_0p50,M_sensitive,0.23366473615169525,0.22839578986167908,0.0977839007973671,0.4385541488602757,0.3196002244949341
200563014,B2_proposed_lambda_0p50,H_sensitive,0.22110114991664886,0.23059915751218796,0.03836860507726669,0.15297543480992315,0.3196002244949341
200732328,B1_baseline,M_sensitive,0.31695109605789185,0.2840762138366699,0.1890765279531479,0.7402573913335802,0.29922741651535034
200732328,B1_baseline,H_sensitive,0.27374380826950073,0.25703200697898865,0.0971798375248909,0.3717277452349663,0.29922741651535034
200732328,B2_proposed_lambda_0p50,M_sensitive,0.34004026651382446,0.3420175313949585,0.1595875471830368,0.6880501698702576,0.29922741651535034
200732328,B2_proposed_lambda_0p50,H_sensitive,0.22618766129016876,0.23396830260753632,0.03572453185915947,0.14531828016042714,0.29922741651535034
200734233,B1_baseline,M_sensitive,0.19764690101146698,0.18853702396154404,0.06834138929843903,0.3780512268841232,0.3612036406993866
200734233,B1_baseline,H_sensitive,0.2282732129096985,0.23228541016578674,0.07665663957595825,0.4430526281893253,0.3612036406993866
200734233,B2_proposed_lambda_0p50,M_sensitive,0.20907868444919586,0.20280605554580688,0.06285294145345688,0.35826149575412225,0.3612036406993866
200734233,B2_proposed_lambda_0p50,H_sensitive,0.2310265153646469,0.2334519624710083,0.05695297196507454,0.3235867723822589,0.3612036406993866
200869357,B1_baseline,M_sensitive,0.18021605908870697,0.16508837044239044,0.11693744361400604,0.5230149144679304,0.30569007992744446
200869357,B1_baseline,H_sensitive,0.19435715675354004,0.20691266655921936,0.0583866685628891,0.2358572688698759,0.30569007992744446
200869357,B2_proposed_lambda_0p50,M_sensitive,0.19876505434513092,0.20050208270549774,0.11359169334173203,0.48276019721291874,0.30569007992744446
200869357,B2_proposed_lambda_0p50,H_sensitive,0.20653270184993744,0.21308812499046326,0.03839392587542534,0.12868038058280945,0.30569007992744446
200887343,B1_baseline,M_sensitive,0.2365550696849823,0.22061772644519806,0.10631319135427475,0.4691886129975319,0.1682875007390976
200887343,B1_baseline,H_sensitive,0.22903914749622345,0.23580361902713776,0.06965459138154984,0.3021789258718491,0.1682875007390976
200887343,B2_proposed_lambda_0p50,M_sensitive,0.23247192800045013,0.24195927381515503,0.08519736677408218,0.3709809508919717,0.1682875007390976
200887343,B2_proposed_lambda_0p50,H_sensitive,0.2164594531059265,0.22458675503730774,0.03856820985674858,0.14123484373092654,0.1682875007390976
200887343-1,B1_baseline,M_sensitive,0.17276795208454132,0.16225767135620117,0.07733505964279175,0.3567114783078434,0.21460701525211334
200887343-1,B1_baseline,H_sensitive,0.2030198872089386,0.2180938646197319,0.058576371520757675,0.23102256469428545,0.21460701525211334
200887343-1,B2_proposed_lambda_0p50,M_sensitive,0.19110830128192902,0.1920284405350685,0.0718580037355423,0.327873811237514,0.21460701525211334
200887343-1,B2_proposed_lambda_0p50,H_sensitive,0.21287715435028076,0.21924816817045212,0.039388034492731094,0.13474274173378953,0.21460701525211334
201091104,B1_baseline,M_sensitive,0.3516867160797119,0.3063841015100479,0.1709330677986145,0.7029892452806235,0.24178101122379303
201091104,B1_baseline,H_sensitive,0.328936368227005,0.2968381345272064,0.13232217729091644,0.5497399915009736,0.24178101122379303
201091104,B2_proposed_lambda_0p50,M_sensitive,0.3631540834903717,0.3465079069137573,0.1303926259279251,0.6244704999774696,0.24178101122379303
201091104,B2_proposed_lambda_0p50,H_sensitive,0.24924899637699127,0.240492545068264,0.07041113078594208,0.28793712243437763,0.24178101122379303
201239406,B1_baseline,M_sensitive,0.2165500968694687,0.16880370676517487,0.13655869662761688,0.5308671398088349,0.26908835768699646
201239406,B1_baseline,H_sensitive,0.3157055377960205,0.2929201126098633,0.14676807820796967,0.6868036530166866,0.26908835768699646
201239406,B2_proposed_lambda_0p50,M_sensitive,0.23401591181755066,0.22148600965738297,0.11017221957445145,0.4375536426529289,0.26908835768699646
201239406,B2_proposed_lambda_0p50,H_sensitive,0.24851275980472565,0.24553070217370987,0.06281805038452148,0.3214975361526013,0.26908835768699646
201319100,B1_baseline,M_sensitive,0.2009733021259308,0.1681366190314293,0.10393736511468887,0.5071294394135464,0.384878009557724
201319100,B1_baseline,H_sensitive,0.2099996954202652,0.22032228857278824,0.05898326262831688,0.278142722249031,0.384878009557724
201319100,B2_proposed_lambda_0p50,M_sensitive,0.221435546875,0.20870238542556763,0.09537966549396515,0.45847811490297286,0.384878009557724
201319100,B2_proposed_lambda_0p50,H_sensitive,0.2194642424583435,0.22969941794872284,0.03606109693646431,0.12561847522854788,0.384878009557724
201331515,B1_baseline,M_sensitive,0.24977847933769226,0.2127779945731163,0.12067905813455582,0.5839394126087427,0.368670791387558
201331515,B1_baseline,H_sensitive,0.22881533205509186,0.23744401335716248,0.0670599564909935,0.3211184125393629,0.368670791387558
201331515,B2_proposed_lambda_0p50,M_sensitive,0.24901801347732544,0.22963079065084457,0.09578553587198257,0.47250867635011673,0.368670791387558
201331515,B2_proposed_lambda_0p50,H_sensitive,0.21757440268993378,0.22833208739757538,0.036247748881578445,0.1325831115245819,0.368670791387558
20134065,B1_baseline,M_sensitive,0.1972494125366211,0.16999205946922302,0.12745434045791626,0.6035131722688672,0.2719617486000061
20134065,B1_baseline,H_sensitive,0.21470433473587036,0.22016076743602753,0.06443615257740021,0.30151302874088265,0.2719617486000061
20134065,B2_proposed_lambda_0p50,M_sensitive,0.21037015318870544,0.19237522780895233,0.12644203007221222,0.580395160093903,0.2719617486000061
20134065,B2_proposed_lambda_0p50,H_sensitive,0.21814313530921936,0.22770285606384277,0.03880114108324051,0.1423223289847374,0.2719617486000061
201368897,B1_baseline,M_sensitive,0.2915703058242798,0.2969518005847931,0.13161660730838776,0.5165535864233971,0.2075357288122177
201368897,B1_baseline,H_sensitive,0.21564197540283203,0.22946451604366302,0.06635134667158127,0.2870243188738823,0.2075357288122177
201368897,B2_proposed_lambda_0p50,M_sensitive,0.3105286657810211,0.33204689621925354,0.11514397710561752,0.5031106115132571,0.2075357288122177
201368897,B2_proposed_lambda_0p50,H_sensitive,0.21910187602043152,0.23127645254135132,0.04105611518025398,0.1522111561894417,0.2075357288122177
201380940,B1_baseline,M_sensitive,0.24579904973506927,0.2401578724384308,0.12749378383159637,0.5179773658514029,0.26911991834640503
201380940,B1_baseline,H_sensitive,0.2605171799659729,0.2513219118118286,0.09491000324487686,0.41259993463754663,0.26911991834640503
201380940,B2_proposed_lambda_0p50,M_sensitive,0.24453890323638916,0.24535945057868958,0.09798499196767807,0.4067236058413983,0.26911991834640503
201380940,B2_proposed_lambda_0p50,H_sensitive,0.23405732214450836,0.24287018179893494,0.04345013201236725,0.20053122639656068,0.26911991834640503
201428730,B1_baseline,M_sensitive,0.2559904456138611,0.2476019710302353,0.09558694809675217,0.40534128814935655,0.20087209343910217
201428730,B1_baseline,H_sensitive,0.22410759329795837,0.23947462439537048,0.05991188436746597,0.2565748849511147,0.20087209343910217
201428730,B2_proposed_lambda_0p50,M_sensitive,0.25092530250549316,0.24994371831417084,0.07470876723527908,0.3281267464160918,0.20087209343910217
201428730,B2_proposed_lambda_0p50,H_sensitive,0.2188878357410431,0.2291114628314972,0.038686323910951614,0.1506249284744262,0.20087209343910217
201537151,B1_baseline,M_sensitive,0.1883738934993744,0.15746471285820007,0.10289788991212845,0.5169578674435615,0.34188899397850037
201537151,B1_baseline,H_sensitive,0.22691048681735992,0.22885063290596008,0.0711786225438118,0.33219323754310615,0.34188899397850037
201537151,B2_proposed_lambda_0p50,M_sensitive,0.19286088645458221,0.16995055973529816,0.09830941259860992,0.4858932989090682,0.34188899397850037
201537151,B2_proposed_lambda_0p50,H_sensitive,0.21961115300655365,0.22966904938220978,0.038000140339136124,0.13940145671367649,0.34188899397850037
201551216,B1_baseline,M_sensitive,0.2526537775993347,0.22369243949651718,0.1121911033987999,0.5645842448621989,0.3239448368549347
201551216,B1_baseline,H_sensitive,0.2204810380935669,0.22610194981098175,0.06774135679006577,0.3075354616343976,0.3239448368549347
201551216,B2_proposed_lambda_0p50,M_sensitive,0.2849133312702179,0.2694523483514786,0.1041756421327591,0.5259385693818333,0.3239448368549347
201551216,B2_proposed_lambda_0p50,H_sensitive,0.2232842743396759,0.23073191940784454,0.038531213998794556,0.15785797461867337,0.3239448368549347
201562603,B1_baseline,M_sensitive,0.16796328127384186,0.1466139480471611,0.0822083130478859,0.4358538156375289,0.29388174414634705
201562603,B1_baseline,H_sensitive,0.2136879414319992,0.22079338878393173,0.05487745255231857,0.2353175338357687,0.29388174414634705
201562603,B2_proposed_lambda_0p50,M_sensitive,0.1678415834903717,0.14880790561437607,0.08258106559515,0.44523128448054194,0.29388174414634705
201562603,B2_proposed_lambda_0p50,H_sensitive,0.22547167539596558,0.23508340865373611,0.042813822627067566,0.17336798831820488,0.29388174414634705
201562603-1,B1_baseline,M_sensitive,0.3281503915786743,0.3265003263950348,0.12918567657470703,0.5964039957523337,0.31098029017448425
201562603-1,B1_baseline,H_sensitive,0.21688373386859894,0.23337431252002716,0.060658764094114304,0.2563167250156401,0.31098029017448425
201562603-1,B2_proposed_lambda_0p50,M_sensitive,0.36943960189819336,0.3783581256866455,0.1231127679347992,0.5637439590692517,0.31098029017448425
201562603-1,B2_proposed_lambda_0p50,H_sensitive,0.21634963154792786,0.2263495922088623,0.03761782497167587,0.13359013974666592,0.31098029017448425
201770004,B1_baseline,M_sensitive,0.20408067107200623,0.1894228756427765,0.1020786240696907,0.5201124326325955,0.333612859249115
201770004,B1_baseline,H_sensitive,0.21296359598636627,0.22081077098846436,0.0577411912381649,0.25563926063478026,0.333612859249115
201770004,B2_proposed_lambda_0p50,M_sensitive,0.2133510857820511,0.20741784572601318,0.09848234802484512,0.5126737378537656,0.333612859249115
201770004,B2_proposed_lambda_0p50,H_sensitive,0.21527262032032013,0.2276729717850685,0.038239505141973495,0.13862218633294138,0.333612859249115
201771352,B1_baseline,M_sensitive,0.24519731104373932,0.23261461406946182,0.15792728960514069,0.6911271602101624,0.29729899764060974
201771352,B1_baseline,H_sensitive,0.22725389897823334,0.23082032799720764,0.07096517086029053,0.3099200541526079,0.29729899764060974
201771352,B2_proposed_lambda_0p50,M_sensitive,0.26072755455970764,0.2667151242494583,0.1493007242679596,0.6615006978809833,0.29729899764060974
201771352,B2_proposed_lambda_0p50,H_sensitive,0.21802560985088348,0.22987334430217743,0.03726423159241676,0.13787166029214856,0.29729899764060974
201885444,B1_baseline,M_sensitive,0.30021801590919495,0.2821536958217621,0.12405204027891159,0.567963256984949,0.13892485201358795
201885444,B1_baseline,H_sensitive,0.23830819129943848,0.2414029985666275,0.07668236643075943,0.31771521411836146,0.13892485201358795
201885444,B2_proposed_lambda_0p50,M_sensitive,0.3218816816806793,0.31873854994773865,0.09759048372507095,0.4877591279149054,0.13892485201358795
201885444,B2_proposed_lambda_0p50,H_sensitive,0.220670685172081,0.23164009302854538,0.03635208681225777,0.14853983312845223,0.13892485201358795
201999677,B1_baseline,M_sensitive,0.25774863362312317,0.2247508317232132,0.1211073026061058,0.5598967719823122,0.29026585817337036
201999677,B1_baseline,H_sensitive,0.2363998293876648,0.24144413322210312,0.06836014240980148,0.28510427616536627,0.29026585817337036
201999677,B2_proposed_lambda_0p50,M_sensitive,0.25854310393333435,0.24485626071691513,0.09319955110549927,0.43774619959294875,0.29026585817337036
201999677,B2_proposed_lambda_0p50,H_sensitive,0.21345371007919312,0.22246003150939941,0.03666423633694649,0.12626003399491312,0.29026585817337036
202045494,B1_baseline,M_sensitive,0.28771713376045227,0.23823150992393494,0.1464119404554367,0.5769294932484627,0.34945088624954224
202045494,B1_baseline,H_sensitive,0.24534066021442413,0.24015529453754425,0.09250323474407196,0.3596452662348747,0.34945088624954224
202045494,B2_proposed_lambda_0p50,M_sensitive,0.2896229922771454,0.27799826860427856,0.10994275659322739,0.4688170148432252,0.34945088624954224
202045494,B2_proposed_lambda_0p50,H_sensitive,0.21949288249015808,0.23061922192573547,0.040876924991607666,0.16463695913553225,0.34945088624954224
202201880,B1_baseline,M_sensitive,0.24048520624637604,0.1790374219417572,0.16976496577262878,0.6630568664520977,0.3108702301979065
202201880,B1_baseline,H_sensitive,0.21909405291080475,0.22594209015369415,0.062456876039505005,0.26284182280302043,0.3108702301979065
202201880,B2_proposed_lambda_0p50,M_sensitive,0.2591248154640198,0.22277237474918365,0.16739416122436523,0.643999419659376,0.3108702301979065
202201880,B2_proposed_lambda_0p50,H_sensitive,0.22092126309871674,0.23143106698989868,0.03617836534976959,0.13440543413162234,0.3108702301979065
202247956,B1_baseline,M_sensitive,0.20500539243221283,0.18915198743343353,0.06303497403860092,0.36056649014353764,0.27702611684799194
202247956,B1_baseline,H_sensitive,0.24049842357635498,0.2526170015335083,0.05779707431793213,0.2718889641761787,0.27702611684799194
202247956,B2_proposed_lambda_0p50,M_sensitive,0.1896769404411316,0.17938491702079773,0.05592884123325348,0.31573298737406774,0.27702611684799194
202247956,B2_proposed_lambda_0p50,H_sensitive,0.22854745388031006,0.23557253181934357,0.0395730696618557,0.16243960648775121,0.27702611684799194
202356763,B1_baseline,M_sensitive,0.18254341185092926,0.17665021866559982,0.07644543051719666,0.46106368349865107,0.22971440851688385
202356763,B1_baseline,H_sensitive,0.21684037148952484,0.2245362624526024,0.05596381425857544,0.28657872341573265,0.22971440851688385
202356763,B2_proposed_lambda_0p50,M_sensitive,0.1941741704940796,0.18759062886238098,0.06720437854528427,0.371064368821681,0.22971440851688385
202356763,B2_proposed_lambda_0p50,H_sensitive,0.22428806126117706,0.23164601624011993,0.039010655134916306,0.14096732884645466,0.22971440851688385
202411756,B1_baseline,M_sensitive,0.20384030044078827,0.18679673969745636,0.11368129402399063,0.5096272880584,0.29840806126594543
202411756,B1_baseline,H_sensitive,0.19871127605438232,0.19461041688919067,0.07352069020271301,0.4226501882076261,0.29840806126594543
202411756,B2_proposed_lambda_0p50,M_sensitive,0.23827464878559113,0.2304716557264328,0.11385554075241089,0.49474172115325915,0.29840806126594543
202411756,B2_proposed_lambda_0p50,H_sensitive,0.2200583815574646,0.22143559157848358,0.04036936163902283,0.17950614631175973,0.29840806126594543
202411756-1,B1_baseline,M_sensitive,0.07374957203865051,0.06771737337112427,0.05162463337182999,0.19468076044635377,0.3118502199649811
202411756-1,B1_baseline,H_sensitive,0.1909748911857605,0.19599101692438126,0.058279044926166534,0.2378141202032566,0.3118502199649811
202411756-1,B2_proposed_lambda_0p50,M_sensitive,0.08062687516212463,0.08389146253466606,0.055806756019592285,0.2081781183421842,0.3118502199649811
202411756-1,B2_proposed_lambda_0p50,H_sensitive,0.19689172506332397,0.1938466653227806,0.05170834809541702,0.22005719192326062,0.3118502199649811
202520620,B1_baseline,M_sensitive,0.27957308292388916,0.2643393576145172,0.14030230045318604,0.5648793077468872,0.2049100250005722
202520620,B1_baseline,H_sensitive,0.2553558945655823,0.24580468237400055,0.09205374121665955,0.3648750291764736,0.2049100250005722
202520620,B2_proposed_lambda_0p50,M_sensitive,0.27578502893447876,0.2811107784509659,0.11112216114997864,0.4520489540323615,0.2049100250005722
202520620,B2_proposed_lambda_0p50,H_sensitive,0.22323426604270935,0.23328173905611038,0.03769669309258461,0.14506184428930283,0.2049100250005722
202522099,B1_baseline,M_sensitive,0.21433980762958527,0.1927090883255005,0.10179051011800766,0.5080052740871905,0.21944396197795868
202522099,B1_baseline,H_sensitive,0.22570382058620453,0.23601476848125458,0.059481147676706314,0.27282081693410853,0.21944396197795868
202522099,B2_proposed_lambda_0p50,M_sensitive,0.21015410125255585,0.2099406123161316,0.0718172937631607,0.35063107535243027,0.21944396197795868
202522099,B2_proposed_lambda_0p50,H_sensitive,0.21667267382144928,0.22695374488830566,0.03915511444211006,0.1501822620630264,0.21944396197795868
202596604,B1_baseline,M_sensitive,0.23524075746536255,0.21978698670864105,0.127463236451149,0.5786365463584654,0.26379796862602234
202596604,B1_baseline,H_sensitive,0.20690511167049408,0.21764276921749115,0.05142869055271149,0.22001177877187672,0.26379796862602234
202596604,B2_proposed_lambda_0p50,M_sensitive,0.2610180377960205,0.25361019372940063,0.12425509095191956,0.5334571631997815,0.26379796862602234
202596604,B2_proposed_lambda_0p50,H_sensitive,0.21830393373966217,0.22814719378948212,0.037014190107584,0.13745893388986588,0.26379796862602234
203036405,B1_baseline,M_sensitive,0.22780382633209229,0.23743470013141632,0.12227196991443634,0.5107191523537041,0.18847832083702087
203036405,B1_baseline,H_sensitive,0.21198338270187378,0.22572658956050873,0.06534921377897263,0.2676105804741384,0.18847832083702087
203036405,B2_proposed_lambda_0p50,M_sensitive,0.2574527859687805,0.28570783138275146,0.12522144615650177,0.4779430926777423,0.18847832083702087
203036405,B2_proposed_lambda_0p50,H_sensitive,0.2151113897562027,0.225202277302742,0.04070603847503662,0.14939435571432116,0.18847832083702087
203044159,B1_baseline,M_sensitive,0.30045831203460693,0.30146652460098267,0.13407392799854279,0.5807944205403327,0.22573114931583405
203044159,B1_baseline,H_sensitive,0.22528213262557983,0.23193296790122986,0.07877589017152786,0.34498976230621237,0.22573114931583405
203044159,B2_proposed_lambda_0p50,M_sensitive,0.32151147723197937,0.3289859890937805,0.11760008335113525,0.5084470152854917,0.22573114931583405
203044159,B2_proposed_lambda_0p50,H_sensitive,0.2151975929737091,0.2252049744129181,0.038616277277469635,0.14557851374149322,0.22573114931583405
203077259-1,B1_baseline,M_sensitive,0.21842822432518005,0.19256319105625153,0.10711096227169037,0.48668390847742576,0.2793995141983032
203077259-1,B1_baseline,H_sensitive,0.21470612287521362,0.2321682870388031,0.06826192885637283,0.2873279437422762,0.2793995141983032
203077259-1,B2_proposed_lambda_0p50,M_sensitive,0.2296045571565628,0.22578689455986023,0.09919144958257675,0.44462337987497463,0.2793995141983032
