model,channel,std,std,std,std,std,p99_p01_range,p99_p01_range,p99_p01_range,p99_p01_range,p99_p01_range,near_zero_fraction,near_zero_fraction,near_zero_fraction,near_zero_fraction,near_zero_fraction,near_one_fraction,near_one_fraction,near_one_fraction,near_one_fraction,near_one_fraction
,,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>
B1_baseline,H_sensitive,0.07101040295511483,0.06674670428037643,0.05904579255729914,0.07761852629482746,0.10313148386776445,0.31332426629230364,0.3012535660341381,0.2572913273051381,0.35087344150990263,0.45481249837204774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1_baseline,M_sensitive,0.10776155686378479,0.10623347759246826,0.08523328974843025,0.1263941265642643,0.16028178110718724,0.4921988678051077,0.49894098296761524,0.4247841270733623,0.564658010583371,0.6469786071460691,5.486100636970483e-05,0.0,0.0,0.0,0.00019836324914070718,0.0,0.0,0.0,0.0,0.0
B2_proposed_lambda_0p50,H_sensitive,0.04073436965048313,0.03892304189503193,0.037534091621637344,0.04101791884750128,0.05215778946876523,0.16186774689495562,0.14939621970057487,0.13855792433023456,0.16394348587840787,0.24244861712306703,3.744042618941746e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_proposed_lambda_0p50,M_sensitive,0.09628597769141198,0.09310801327228546,0.07508983463048935,0.11415188387036324,0.14300060421228403,0.4410260074456419,0.4346742848493158,0.36018626187462444,0.5172289590723811,0.6245014148913325,3.570221389915105e-05,0.0,0.0,0.0,0.00013343774966954368,0.0,0.0,0.0,0.0,0.0
