case_id,model,channel,finite_fraction,all_zero,constant,min,max,mean,median,std,p01,p05,p25,p75,p95,p99,iqr,p99_p01_range,zero_fraction,one_fraction,near_zero_fraction,near_one_fraction
100037382,B1_baseline,M_sensitive,1.0,False,False,0.01794229820370674,0.7323469519615173,0.2594856917858124,0.23875769972801208,0.08787184208631516,0.12511021941900252,0.16051772385835647,0.20688621327280998,0.2844521850347519,0.4634969741106028,0.5627644515037535,0.07756597176194191,0.437654232084751,0.0,0.0,0.0,0.0
100037382,B1_baseline,H_sensitive,1.0,False,False,0.06977689266204834,0.6743689775466919,0.2366781085729599,0.2408411204814911,0.07439772039651871,0.11044380620121956,0.1247212015092373,0.1803193837404251,0.27671851217746735,0.3612224757671355,0.45623758822679494,0.09639912843704224,0.34579378202557537,0.0,0.0,0.0,0.0
100037382,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.008929211646318436,0.652593195438385,0.27445873618125916,0.2731613367795944,0.061311811208724976,0.11264679990708829,0.17524898201227188,0.23700867593288422,0.3103428855538368,0.3733070597052574,0.4392157399654387,0.0733342096209526,0.32656894005835047,0.0,0.0,0.0,0.0
100037382,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.03933095186948776,0.6294490098953247,0.2231624573469162,0.2328086793422699,0.03834841772913933,0.1564996299147606,0.1639593005180359,0.18512779846787453,0.25217941403388977,0.27797661870718005,0.2974391362071036,0.06705161556601524,0.140939506292343,0.0,0.0,0.0,0.0
100643124,B1_baseline,M_sensitive,1.0,False,False,0.008655287325382233,0.7476816177368164,0.21643605828285217,0.1925751194357872,0.09753779321908951,0.06953584060072898,0.10287620909512044,0.153001107275486,0.2577917352318764,0.4083813264966011,0.5671601933240892,0.10479062795639038,0.4976243527233602,0.0,0.0,0.0,0.0
100643124,B1_baseline,H_sensitive,1.0,False,False,0.0506477952003479,0.47035396099090576,0.22043253481388092,0.2361694499850273,0.05238505080342293,0.10392580837011338,0.12613317370414734,0.17786715924739838,0.2582491338253021,0.2856635540723801,0.3247005268931389,0.08038197457790375,0.2207747185230255,0.0,0.0,0.0,0.0
100643124,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.003980199806392193,0.8032758235931396,0.1989240199327469,0.1825963780283928,0.08234646171331406,0.05564506102353334,0.1052716888487339,0.14278462901711464,0.2361336126923561,0.3456917837262153,0.48483497023582467,0.09334898367524147,0.42918990921229133,0.0,0.0,0.0,0.0
100643124,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.016538063064217567,0.5750721096992493,0.21015779674053192,0.22114399820566177,0.03666342794895172,0.1422489872574806,0.15195619836449623,0.17489216849207878,0.24187757447361946,0.2571009695529938,0.27044346630573274,0.06698540598154068,0.12819447904825212,0.0,0.0,0.0,0.0
100960732,B1_baseline,M_sensitive,1.0,False,False,0.0006353253265842795,0.8537573218345642,0.3070661127567291,0.2709481567144394,0.17416171729564667,0.04782888375222683,0.09317559562623501,0.16634049639105797,0.41964295506477356,0.6457328140735626,0.7505876863002777,0.2533024586737156,0.7027588025480509,0.0,0.0,0.0,0.0
100960732,B1_baseline,H_sensitive,1.0,False,False,0.07679706066846848,0.6272900700569153,0.2738163471221924,0.2528378367424011,0.11493971198797226,0.10360723182559013,0.1267978623509407,0.1767892763018608,0.360344722867012,0.491742968559265,0.5228058958053589,0.18355544656515121,0.41919866397976874,0.0,0.0,0.0,0.0
100960732,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.00034508193493820727,0.8350772857666016,0.3111981749534607,0.328274667263031,0.13682541251182556,0.04806843336671591,0.09208202734589577,0.19564057886600494,0.4041394591331482,0.524942034482956,0.642182449698448,0.20849888026714325,0.594114016331732,0.0,0.0,0.0,0.0
100960732,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.01487854216247797,0.6487632989883423,0.2272607535123825,0.23335350304841995,0.04611948877573013,0.15224138244986535,0.16185628175735473,0.18647710978984833,0.2562576085329056,0.3129279315471649,0.3500550311803817,0.06978049874305725,0.19781364873051638,0.0,0.0,0.0,0.0
101044067,B1_baseline,M_sensitive,1.0,False,False,0.019183587282896042,0.877718985080719,0.23917768895626068,0.21644893288612366,0.12077022343873978,0.06493341594934464,0.09598100781440735,0.14540626108646393,0.30391764640808105,0.47178969979286184,0.6309236145019528,0.15851138532161713,0.5659901985526081,0.0,0.0,0.0,0.0
101044067,B1_baseline,H_sensitive,1.0,False,False,0.03999146819114685,0.7777261137962341,0.2141702026128769,0.22129671275615692,0.06262629479169846,0.08979307562112808,0.1163619339466095,0.1660626232624054,0.2582967281341553,0.2935100495815277,0.36521681189537003,0.09223410487174988,0.27542373627424194,0.0,0.0,0.0,0.0
101044067,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.0007667836616747081,0.8812252879142761,0.26147890090942383,0.24567297101020813,0.11759669333696365,0.06447000503540039,0.11311998665332794,0.17264296114444733,0.32403895258903503,0.4840219676494598,0.6287948846817016,0.1513959914445877,0.5643248796463013,0.0,0.0,0.0,0.0
101044067,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.012358877807855606,0.6330788731575012,0.22238761186599731,0.22956745326519012,0.040000222623348236,0.1439919203519821,0.15622846484184266,0.18695291876792908,0.2534986436367035,0.27522603869438167,0.3040848433971405,0.06654572486877441,0.16009292304515838,0.0,0.0,0.0,0.0
101295911,B1_baseline,M_sensitive,1.0,False,False,0.055358368903398514,0.7587669491767883,0.2767176330089569,0.24853450059890747,0.10673574358224869,0.12778690516948701,0.15831205993890762,0.20096483826637268,0.3210720121860504,0.506850981712341,0.6367632699012755,0.12010717391967773,0.5089763647317885,0.0,0.0,0.0,0.0
101295911,B1_baseline,H_sensitive,1.0,False,False,0.05271735414862633,0.6963649988174438,0.2481217384338379,0.2511283755302429,0.07267701625823975,0.10697087332606316,0.13124524503946305,0.20547722280025482,0.28225913643836975,0.36614263653755186,0.4619787150621394,0.07678191363811493,0.35500784173607625,0.0,0.0,0.0,0.0
101295911,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.016071921214461327,0.7067521810531616,0.2742667496204376,0.2684659957885742,0.07847051322460175,0.13521478325128555,0.1621826931834221,0.21179039776325226,0.3318346440792084,0.40096439421176905,0.4866659241914748,0.12004424631595612,0.35145114094018925,0.0,0.0,0.0,0.0
101295911,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.044054482132196426,0.5915991067886353,0.22773586213588715,0.23480290174484253,0.039762940257787704,0.15703898668289185,0.16500177681446077,0.19238904863595963,0.2546592503786087,0.28195864260196685,0.3282071042060852,0.06227020174264908,0.17116811752319333,0.0,0.0,0.0,0.0
101377780,B1_baseline,M_sensitive,1.0,False,False,0.01505556982010603,0.8160494565963745,0.21619446575641632,0.19911906123161316,0.07065773010253906,0.11251460164785385,0.13630418479442596,0.17022548615932465,0.2458275854587555,0.3415036201477051,0.463437712192536,0.07560209929943085,0.35092311054468217,0.0,0.0,0.0,0.0
101377780,B1_baseline,H_sensitive,1.0,False,False,0.07159893214702606,0.6626611948013306,0.2264493703842163,0.2385619729757309,0.05312217399477959,0.1157509669661522,0.13499301671981812,0.18594589829444885,0.26269590854644775,0.29016822576522827,0.328824782371521,0.0767500102519989,0.21307381540536882,0.0,0.0,0.0,0.0
101377780,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.004818488843739033,0.8488109111785889,0.208082914352417,0.20231671631336212,0.07130156457424164,0.07418043911457062,0.11361642926931381,0.1615043580532074,0.24292206764221191,0.32458919286727905,0.4434639155864719,0.08141770958900452,0.3692834764719013,0.0,0.0,0.0,0.0
101377780,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.02878512442111969,0.5708112716674805,0.22243154048919678,0.2319263219833374,0.0407680980861187,0.14394937753677367,0.15404199063777924,0.18537361919879913,0.25517547130584717,0.2789042592048645,0.2895037651062012,0.06980185210704803,0.1455543875694275,0.0,0.0,0.0,0.0
101588739,B1_baseline,M_sensitive,1.0,False,False,0.0007101203082129359,0.7677834033966064,0.22118514776229858,0.1982518583536148,0.10037155449390411,0.047304143682122234,0.09471631646156312,0.15507227182388306,0.2678428143262863,0.42183292508125303,0.53988952755928,0.11277054250240326,0.4925853838771578,0.0,0.0,0.0,0.0
101588739,B1_baseline,H_sensitive,1.0,False,False,0.07700059562921524,0.6560621857643127,0.23084422945976257,0.23288440704345703,0.0740344449877739,0.1051769968867302,0.12484313249588012,0.171637162566185,0.2654813677072525,0.370894780755043,0.42841853380203243,0.0938442051410675,0.3232415369153022,0.0,0.0,0.0,0.0
101588739,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.0003443937166593969,0.7104460000991821,0.23412464559078217,0.23843984305858612,0.0680948942899704,0.053170222342014316,0.10941365286707878,0.19896510243415833,0.2741866409778595,0.3314528077840805,0.4089521688222884,0.07522153854370117,0.3557819464802741,0.0,0.0,0.0,0.0
101588739,B2_proposed_lambda_0p50,H_sensitive,1.0,False,False,0.04445034638047218,0.6099029779434204,0.22498531639575958,0.23544056713581085,0.03853229433298111,0.15313104331493377,0.1627146303653717,0.18834710121154785,0.2550807595252991,0.274751815199852,0.3070192068815231,0.06673365831375122,0.15388816356658935,0.0,0.0,0.0,0.0
101737098,B1_baseline,M_sensitive,1.0,False,False,0.018737945705652237,0.7924726009368896,0.22359336912631989,0.19294537603855133,0.10475379973649979,0.0719886489212513,0.09920553490519524,0.14719133079051971,0.2828613221645355,0.42814284563064575,0.5427357375621791,0.1356699913740158,0.4707470886409278,0.0,0.0,0.0,0.0
101737098,B1_baseline,H_sensitive,1.0,False,False,0.05852486193180084,0.8912230730056763,0.22314466536045074,0.23067164421081543,0.0698724016547203,0.08935203477740288,0.11429224163293839,0.17570998519659042,0.26626354455947876,0.3189542889595032,0.3689899235963821,0.09055355936288834,0.2796378888189792,0.0,0.0,0.0,0.0
101737098,B2_proposed_lambda_0p50,M_sensitive,1.0,False,False,0.00340512627735734,0.7082868218421936,0.22110889852046967,0.20577166974544525,0.09005056321620941,0.06902498751878738,0.09850039705634117,0.15384061634540558,0.2802591174840927,0.3853752911090851,0.46474380195140835,0.12641850113868713,0.39571881443262097,0.0,0.0,0.0,0.0
