epoch,train_loss,inner_val_macro_ovr_auc
1,1.0284632642441036,0.6800190544712201
2,0.6477727441578449,0.683197846245187
3,0.3852351887099048,0.6741685421355338
4,0.2802233650673146,0.6539032418923445
5,0.2413328648734616,0.6468365995007525
6,0.22975400277066008,0.6339605734767025
7,0.22662135412139953,0.6472509940350585
8,0.2157155706030448,0.6597078728746514
9,0.2099489369269075,0.6553381766494254
10,0.20450172725142357,0.6526611550548456
11,0.1998211689129892,0.6613120750947971
12,0.1993709267306851,0.6545673333538062
