candidate,subject_id,outer_fold,reference_logrmse,model_logrmse,error_ratio,model_better
V2R-0,p004,1,0.056917941136243246,0.10657708464568476,1.872469075973312,False
V2R-0,p006,1,0.13940577489134853,0.1174239807333301,0.8423179084571581,True
V2R-0,p011,1,0.3732889911864766,0.0843581192633024,0.22598608920979746,True
V2R-0,p019,1,0.10373321250027841,0.12926653765905377,1.2461441667846431,False
V2R-0,p032,1,0.025708892340532755,0.11708315506186966,4.554189014097501,False
V2R-0,p044,1,0.3098442047484866,0.13545355659003344,0.4371666615484602,True
V2R-0,p049,1,0.20472978773181452,0.13454914955194552,0.6572035805956971,True
V2R-0,p050,1,0.0339307747016101,0.12387098800348377,3.65069731218385,False
V2R-0,p051,1,0.055389047077739215,0.12445509523899957,2.2469260946902607,False
V2R-0,p003,2,0.12492241791591004,0.09024338216471027,0.7223954168534944,True
V2R-0,p010,2,0.0727337682326018,0.08872905879642148,1.219915603886587,False
V2R-0,p013,2,0.07558012764415048,0.11299744252211245,1.4950681620191453,False
V2R-0,p018,2,0.2863075203985125,0.1805325499860183,0.6305546907560597,True
V2R-0,p020,2,0.27055280854864483,0.24143288402526286,0.8923687960232494,True
V2R-0,p023,2,0.08921678421914363,0.10962359964207023,1.2287329183800353,False
V2R-0,p037,2,0.13745873588358706,0.09974531423191316,0.7256382331086387,True
V2R-0,p038,2,0.15532450379589183,0.1397330139018196,0.8996198956826502,True
V2R-0,p041,2,0.07823874376413094,0.09923138186546221,1.268315122295656,False
V2R-0,p008,3,0.24454802046892507,0.3004407624866042,1.228555282968571,False
V2R-0,p014,3,0.3163864289197167,0.2082378233420437,0.6581755862698023,True
V2R-0,p015,3,0.13633621739213275,0.10047513412939785,0.7369658338136916,True
V2R-0,p021,3,0.3130906041516113,0.19554599374123557,0.6245667904059625,True
V2R-0,p022,3,0.3035463164089812,0.22748964811534045,0.7494396598403577,True
V2R-0,p028,3,0.07195083874371776,0.09238646666694592,1.2840220945306555,False
V2R-0,p033,3,0.17494066234247999,0.09107809894404306,0.5206228084682804,True
V2R-0,p043,3,0.20894111726852152,0.06810490552674445,0.3259526244382964,True
V2R-0,p046,3,0.3075360483278093,0.20116133929108895,0.6541065360788754,True
V2R-0,p005,4,0.1358455305140367,0.10179362805322528,0.7493336561610845,True
V2R-0,p012,4,0.13496989706723028,0.10721164540782567,0.7943374614446223,True
V2R-0,p025,4,0.09451058246231865,0.09504682905804608,1.0056739317625223,False
V2R-0,p026,4,0.13291356377868016,0.10406243414028485,0.782933142275558,True
V2R-0,p027,4,0.10488889580578718,0.10893815622861193,1.0386052345361931,False
V2R-0,p029,4,0.08665319273132167,0.127025274099402,1.465904141504153,False
V2R-0,p031,4,0.1111794200646268,0.08651812973491319,0.7781847547380765,True
V2R-0,p034,4,0.3058002406024518,0.08096679215258108,0.2647702042126252,True
V2R-0,p048,4,0.08452821904465835,0.1680939749480889,1.9886137061432785,False
V2R-0,p007,5,0.22317993423397947,0.1441264280241579,0.6457857805131231,True
V2R-0,p009,5,0.3132877392838114,0.1950412126652456,0.6225625462110895,True
V2R-0,p017,5,0.2346034856449402,0.09433056457118029,0.4020850939697654,True
V2R-0,p024,5,0.13018393302235823,0.09282508790942556,0.7130302930199802,True
V2R-0,p040,5,0.18414069462273758,0.07636703164383157,0.41472110116826844,True
V2R-0,p042,5,0.21314144996902937,0.07305224005323353,0.3427406544520009,True
V2R-0,p045,5,0.07831358278563605,0.10533253074308827,1.3450097287900857,False
V2R-0,p047,5,0.18502561320030544,0.16175829514198176,0.8742481235117707,True
V2R-P,p004,1,0.056917941136243246,0.0920386281951048,1.6170407143644554,False
V2R-P,p006,1,0.13940577489134853,0.10553890413722933,0.7570626411960717,True
V2R-P,p011,1,0.3732889911864766,0.06666946076860239,0.17860012575430503,True
V2R-P,p019,1,0.10373321250027841,0.11928244888946044,1.1498964122907145,False
V2R-P,p032,1,0.025708892340532755,0.10185674112118788,3.9619264716667737,False
V2R-P,p044,1,0.3098442047484866,0.12886764635788586,0.4159111075273881,True
V2R-P,p049,1,0.20472978773181452,0.12695889641055244,0.6201290873063477,True
V2R-P,p050,1,0.0339307747016101,0.11070988405678016,3.2628162790378816,False
V2R-P,p051,1,0.055389047077739215,0.11217992210777662,2.0253087573492774,False
V2R-P,p003,2,0.12492241791591004,0.07443637452958014,0.5958608212313506,True
V2R-P,p010,2,0.0727337682326018,0.07666743626688972,1.0540831051363666,False
V2R-P,p013,2,0.07558012764415048,0.09707856079677855,1.2844455787882219,False
V2R-P,p018,2,0.2863075203985125,0.17428690406259734,0.6087402238684012,True
V2R-P,p020,2,0.27055280854864483,0.22413187491245262,0.8284219118433368,True
V2R-P,p023,2,0.08921678421914363,0.09901356227186446,1.1098086883366807,False
V2R-P,p037,2,0.13745873588358706,0.0810954557867628,0.5899621822176659,True
V2R-P,p038,2,0.15532450379589183,0.12799100101149405,0.8240232409155733,True
V2R-P,p041,2,0.07823874376413094,0.084437992054074,1.0792350182491701,False
V2R-P,p008,3,0.24454802046892507,0.2872900228967297,1.174779588670749,False
V2R-P,p014,3,0.3163864289197167,0.20259622820539203,0.6403442426312191,True
V2R-P,p015,3,0.13633621739213275,0.08329722610861427,0.6109691738698695,True
V2R-P,p021,3,0.3130906041516113,0.1749433810694803,0.5587627950175265,True
V2R-P,p022,3,0.3035463164089812,0.20933429397374562,0.6896288396782927,True
V2R-P,p028,3,0.07195083874371776,0.07806389894811695,1.0849616253421777,False
V2R-P,p033,3,0.17494066234247999,0.07183141210285945,0.4106044366188328,True
V2R-P,p043,3,0.20894111726852152,0.05496183911357482,0.2630494171376541,True
V2R-P,p046,3,0.3075360483278093,0.19618387091280284,0.6379215444157825,True
V2R-P,p005,4,0.1358455305140367,0.09114168907275864,0.6709215145163803,True
V2R-P,p012,4,0.13496989706723028,0.0896235510693974,0.6640262237493945,True
V2R-P,p025,4,0.09451058246231865,0.08022060159998866,0.8488002032150483,True
V2R-P,p026,4,0.13291356377868016,0.09420953538568624,0.7088030198524992,True
V2R-P,p027,4,0.10488889580578718,0.09588449815648693,0.9141529941742085,True
V2R-P,p029,4,0.08665319273132167,0.11351018174631566,1.3099365201495485,False
V2R-P,p031,4,0.1111794200646268,0.06935379966674375,0.6238006964457047,True
V2R-P,p034,4,0.3058002406024518,0.06035930984394615,0.19738149886682008,True
V2R-P,p048,4,0.08452821904465835,0.15716180230506874,1.8592820726772472,False
V2R-P,p007,5,0.22317993423397947,0.13432182846281102,0.6018544136767665,True
V2R-P,p009,5,0.3132877392838114,0.18996601428314777,0.6063627472859866,True
V2R-P,p017,5,0.2346034856449402,0.07876559857650756,0.33573925110266717,True
V2R-P,p024,5,0.13018393302235823,0.08325407153470452,0.6395111101798268,True
V2R-P,p040,5,0.18414069462273758,0.05871418424797162,0.3188550166396604,True
V2R-P,p042,5,0.21314144996902937,0.05681397448250186,0.26655525938646496,True
V2R-P,p045,5,0.07831358278563605,0.09168311699375681,1.1707179486950117,False
V2R-P,p047,5,0.18502561320030544,0.15318887784596008,0.827933361205081,True
