fold,selected_epoch,inner_best_macro_ovr_auc,macro_ovr_auc,accuracy,macro_f1,balanced_accuracy
0,3,0.7350094056785998,0.6649379778261766,0.42,0.40958260376078787,0.5084294587400178
1,7,0.7210295844898985,0.6528705458196479,0.46,0.41411206227039093,0.43577169748459105
2,2,0.683197846245187,0.6655333384260129,0.47,0.4740155361530672,0.49384314934731216
3,2,0.6521233744108542,0.7254013997413714,0.4,0.3806760086799808,0.5061465721040189
4,6,0.6958797447899987,0.732324981263246,0.51,0.5141607142044187,0.5511768938225923
