epoch,train_loss,inner_val_macro_auc
1,0.6176287665963173,0.7713546160483176
2,0.4005101516842842,0.7817083692838654
3,0.3053168013691902,0.8119068162208801
4,0.2572937421500683,0.82053494391717
5,0.22844782546162606,0.8032786885245902
6,0.23269484490156173,0.7808455565142364
7,0.22638812139630318,0.7972389991371873
8,0.21389202773571014,0.7903364969801553
9,0.20910705626010895,0.818809318377912
10,0.19939144626259803,0.8050043140638481
11,0.20099046677350998,0.811044003451251
12,0.20673120096325875,0.8006902502157032
13,0.19073678255081178,0.8024158757549612
14,0.20031645968556405,0.8067299396031061
