accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,auc_normal,precision_normal,recall_normal,f1_normal,auc_mild,precision_mild,recall_mild,f1_mild,auc_severe,precision_severe,recall_severe,f1_severe,macro_auc,severe_vs_rest_auc,normal_vs_abnormal_auc,ordinal_mae,normal_to_severe_count,severe_to_normal_count,two_step_error_count,two_step_error_rate,qwk,severe_recall,multiclass_brier_score,ece_15_equal_width,nll,fold
0.4,0.4751789604730781,0.4877873563218391,0.3787475393515201,0.4877873563218391,0.7854319593450028,0.3382352941176471,1.0,0.5054945054945055,0.6061698717948717,0.6428571428571429,0.1875,0.2903225806451613,0.5993200582807188,0.4444444444444444,0.2758620689655172,0.3404255319148936,0.6636406298068643,0.5993200582807188,0.7854319593450028,0.76,0.0,16.0,16.0,0.16,0.25,0.2758620689655172,0.7671185390374352,0.3093425920605659,1.286307652860093,0
0.52,0.3484848484848484,0.4818840579710144,0.4044657097288676,0.4818840579710144,0.8802936194240543,0.5,0.6956521739130435,0.5818181818181818,0.6650641025641025,0.5454545454545454,0.75,0.631578947368421,0.7139388052452647,0.0,0.0,0.0,0.7530988424111404,0.7139388052452647,0.8802936194240543,0.54,0.0,6.0,6.0,0.06,0.2633928571428571,0.0,0.608516493961342,0.1934471771121025,1.02003555103807,1
0.55,0.3777777777777777,0.5010792476102375,0.4269125683060109,0.5010792476102375,0.8481084133258047,0.6,0.6521739130434783,0.625,0.6523484544359696,0.5333333333333333,0.851063829787234,0.6557377049180327,0.6914285714285715,0.0,0.0,0.0,0.7306284797301151,0.6914285714285715,0.8481084133258047,0.48,0.0,3.0,3.0,0.03,0.3374233128834356,0.0,0.599690673369241,0.2249240499734878,0.9542329618686176,2
0.54,0.5382226056945643,0.5079555966697502,0.5121991949234475,0.5079555966697502,0.8695652173913043,0.6,0.5217391304347826,0.5581395348837209,0.5961461260537936,0.5409836065573771,0.7021276595744681,0.6111111111111112,0.6595238095238096,0.4736842105263157,0.3,0.3673469387755102,0.7084117176563026,0.6595238095238096,0.8695652173913043,0.5,2.0,2.0,4.0,0.04,0.3705231169958758,0.3,0.7158212403075407,0.2836635947227478,1.2399119745930398,3
0.55,0.501899684407268,0.5689587830198376,0.4951481772882244,0.5689587830198376,0.8718238283455675,0.5116279069767442,0.9565217391304348,0.6666666666666666,0.6744279405861099,0.6304347826086957,0.6170212765957447,0.6236559139784946,0.5828571428571429,0.3636363636363636,0.1333333333333333,0.1951219512195122,0.7097029705962733,0.5828571428571429,0.8718238283455675,0.55,0.0,10.0,10.0,0.1,0.3272335844994618,0.1333333333333333,0.7078426313187349,0.3107404416799545,1.4675668694099429,4
