ID,skin_pixel_n,valid_skin_pixel_ratio,skin_median_r,skin_median_g,skin_median_b,skin_linear_luminance_median,skin_lab_l_median,overexposed_pixel_ratio,underexposed_pixel_ratio,saturated_pixel_ratio,laplacian_variance,high_frequency_noise_mad
100037382,18940,0.37747130102040816,0.5607843137254902,0.39215686274509803,0.3137254901960784,0.1543215953614663,46.220508681294994,0.0,0.005702217529039071,0.00010559662090813094,0.020842125209796763,0.019121627389652937
100643124,23672,0.47177933673469385,0.6627450980392157,0.5137254901960784,0.4235294117647059,0.2593113373806833,57.97162469868461,0.0,0.0006336600202771207,0.0002957080094626563,0.005524181443437539,0.009306385293672973
100960732,18746,0.3736049107142857,0.6078431372549019,0.4235294117647059,0.34901960784313724,0.1816581608073928,49.69661000076168,0.0,0.0036274405206444043,0.002293822682172197,0.005236847142100857,0.006231715731878829
101044067,19485,0.38833306760204084,0.8235294117647058,0.611764705882353,0.4745098039215686,0.3890868318203871,68.6850666206988,0.0,0.00025660764690787786,5.132152938157557e-05,0.012287247724484553,0.017044586420025168
101295911,20510,0.4087611607142857,0.6627450980392157,0.47843137254901963,0.38823529411764707,0.234477541157462,55.53057886983831,0.0,0.0007313505607020966,0.0,0.0011655708963123092,0.006750114076135466
101377780,20652,0.41159119897959184,0.7176470588235294,0.5450980392156862,0.4392156862745098,0.29697270126630254,61.39213584229989,0.0,0.000242107301956227,0.0001452643811737362,0.0053494206858535846,0.01174888785548751
101588739,20140,0.40138711734693877,0.6392156862745098,0.4627450980392157,0.3764705882352941,0.2147816004810542,53.468888033820875,0.0,0.003624627606752731,9.930486593843098e-05,0.016367153934404237,0.01597236018350728
101737098,20190,0.40238360969387754,0.8156862745098039,0.6313725490196078,0.5137254901960784,0.4063586327519528,69.92004306455706,0.0,0.0005943536404160475,0.005745418524021793,0.018552208590500153,0.020002734831840598
102400553,16473,0.328304368622449,0.7294117647058823,0.5372549019607843,0.4235294117647059,0.2931818361175137,61.06142034063768,0.0,0.0009105809506465125,0.0007284647605172099,0.01995200785174197,0.022134291790761536
200088422,20026,0.3991151147959184,0.6549019607843137,0.5137254901960784,0.41568627450980394,0.25507801123914664,57.5668786284248,0.0,0.0016478577848796565,0.00034954559073204834,0.01247380726262321,0.01650059401603777
200378127,13697,0.27297911352040816,0.592156862745098,0.41568627450980394,0.32941176470588235,0.1757774501718948,48.979900599161866,0.0,0.0007300868803387603,7.300868803387604e-05,0.02594843761943864,0.01940885448763998
200563014,18314,0.3649952168367347,0.7254901960784313,0.5490196078431373,0.42745098039215684,0.3028239280669545,61.89711715159784,0.0,0.0012558698263623457,0.0006006333952167741,0.015018849446619876,0.01772170124460441
200732328,17299,0.34476642219387754,0.6705882352941176,0.4666666666666667,0.3803921568627451,0.22699606919236665,54.761565876227124,0.0,0.0024856928146135614,0.00543384010636453,0.024956235314434416,0.023730745516213993
200734233,19618,0.39098373724489793,0.7764705882352941,0.5803921568627451,0.47058823529411764,0.34611130722149974,65.44477948536836,0.0,0.0008665511265164644,0.0007646039351615863,0.007425436062479666,0.01324992170572359
200869357,17166,0.3421157525510204,0.6352941176470588,0.49019607843137253,0.403921568627451,0.23373945287780512,55.45544534010466,0.0,0.00623325177676803,0.004310847023185366,0.015749934852636663,0.015734028539743664
200887343,18492,0.36854272959183676,0.5372549019607843,0.3764705882352941,0.3137254901960784,0.14237120721311552,44.571088230486474,0.0,0.0027038719446247027,0.0,0.00518983390648616,0.012481236582712699
200887343-1,18354,0.3657924107142857,0.5803921568627451,0.4588235294117647,0.36470588235294116,0.1990436766871129,51.728914886909976,0.0,0.005393919581562602,0.00021793614470960008,0.03403092597597721,0.021638792475071396
201091104,17282,0.3444276147959184,0.6862745098039216,0.4627450980392157,0.37254901960784315,0.22981862903904188,55.05365101271594,0.0,0.0017937738687651892,5.786367318597385e-05,0.020162880709144074,0.01784914071570524
201223046,19031,0.37928491709183676,0.807843137254902,0.611764705882353,0.5215686274509804,0.38502348697573724,68.38923763504634,0.0,0.01886395880405654,0.035205716988072094,0.008807538221427127,0.014845603726729648
201239406,15825,0.31538982780612246,0.6666666666666666,0.4588235294117647,0.4,0.22201023633819666,54.239647321096086,0.0,0.005181674565560821,0.0,0.030092216983491616,0.01902569054379798
201319100,18904,0.37675382653061223,0.8,0.6,0.4980392156862745,0.37044949517284465,67.31073954549457,0.0,0.0008463817181548879,0.0003702920016927634,0.014452226210333971,0.017568525757700654
201331515,22876,0.45591517857142855,0.8,0.592156862745098,0.48627450980392156,0.36362033449051295,66.79562265481486,0.0,0.0002622836160167862,0.0031911173282042314,0.01067505208697093,0.015722780513764977
20134065,14982,0.2985889668367347,0.6313725490196078,0.4745098039215686,0.396078431372549,0.22115009451998188,54.14881927813086,0.0,0.009411293552262716,0.00420504605526632,0.009797813470568439,0.01198850985681483
201368897,15149,0.3019172512755102,0.5843137254901961,0.4196078431372549,0.2980392156862745,0.17368416811876566,48.72092766450483,0.0,0.002838471186216912,0.00013202191563799591,0.009909053454407043,0.011760581503631167
201380940,17646,0.3516820790816326,0.6235294117647059,0.4235294117647059,0.34901960784313724,0.18821162459368485,50.47731473402014,0.0,0.0014734217386376516,0.0034002040122407345,0.007387640539596241,0.009915410085499387
201428730,16604,0.33091517857142855,0.5764705882352941,0.40784313725490196,0.3058823529411765,0.1668352985387675,47.858782881464975,0.0,0.0028306432185015657,0.0,0.0021415224606050683,0.004100195552271474
201537151,18126,0.3612484056122449,0.7607843137254902,0.5725490196078431,0.49019607843137253,0.3363286707706381,64.67010449725102,0.0,0.0027584684982897493,0.0008827099194527199,0.012675733197019416,0.01823188906193323
201551216,19282,0.3842873086734694,0.7568627450980392,0.5372549019607843,0.42745098039215684,0.3013207088922712,61.76800941915108,0.0,0.0009853749611036199,0.0007260657608131936,0.01913854096872385,0.02018126944537401
201562603,19564,0.3899075255102041,0.6941176470588235,0.5607843137254902,0.4666666666666667,0.3040302148350593,62.000413250291544,0.0,0.0005622572071151094,0.0,0.003808016866452075,0.00972655787724197
201562603-1,17732,0.3533960459183674,0.6901960784313725,0.4745098039215686,0.3411764705882353,0.23594402522263852,55.679392699574656,0.0,0.00045116174148432213,0.0007331378299120235,0.01270705455552057,0.012634372778578156
201770004,17684,0.35243941326530615,0.6901960784313725,0.5215686274509804,0.42745098039215684,0.2699314441157895,58.96798108177083,0.0,0.0002827414612078715,0.006616150192264194,0.008845979512608463,0.012874440746356682
201771352,20763,0.4138034119897959,0.6313725490196078,0.45098039215686275,0.3686274509803922,0.2054320271877327,52.44588971029425,0.0,0.0031305688002697105,0.0005779511631267157,0.00889233613483134,0.013822004867297705
201885444,19931,0.3972217793367347,0.47843137254901963,0.32941176470588235,0.2549019607843137,0.10883534475612612,39.38361611206256,0.0,0.003863328483267272,0.0,0.00381121835876919,0.010003973227021769
201999677,19291,0.3844666772959184,0.7215686274509804,0.5294117647058824,0.4235294117647059,0.28782168136421205,60.58889866972508,0.0,0.0018661552019076254,5.183764449743404e-05,0.021469331391053493,0.019991722111771342
202045494,18491,0.36852279974489793,0.792156862745098,0.5882352941176471,0.4666666666666667,0.35664170860974004,66.26252449967147,0.0,0.00048672327078037967,0.0,0.00310542153221544,0.010339713929639303
202201880,18305,0.3648158482142857,0.6980392156862745,0.5294117647058824,0.42745098039215684,0.27972700870222744,59.86406732300695,0.0,0.007975962851679869,0.0007648183556405354,0.015245497572989498,0.01668740512348514
202247956,17661,0.3519810267857143,0.6823529411764706,0.5294117647058824,0.4235294117647059,0.2742708755433745,59.367577036460446,0.0,0.0009625729007417473,0.00022648774135099938,0.0039060148160752427,0.007676588224564723
202356763,18526,0.3692203443877551,0.6274509803921569,0.47843137254901963,0.396078431372549,0.22437698495825534,54.48836307188098,0.0,0.00016193457843031414,0.0,0.005543569031154679,0.00909702506513912
202411756,17810,0.35495057397959184,0.6705882352941176,0.5137254901960784,0.396078431372549,0.2565830268917199,57.71128188469078,0.0,0.003256597417181359,0.00011229646266142616,0.012472265426354235,0.015285271957689691
202411756-1,17254,0.3438695790816326,0.6392156862745098,0.5333333333333333,0.47843137254901963,0.26956068125420346,58.933641400879495,0.0,0.0006954909006607164,0.0,0.006731295243991888,0.00982381817712363
202520620,15803,0.3149513711734694,0.5490196078431373,0.3686274509803922,0.2901960784313726,0.14035359663822317,44.2835988585716,0.0,0.004176422198316775,0.0,0.0029328299033918826,0.004706124517631531
202522099,16530,0.32944036989795916,0.6235294117647059,0.4627450980392157,0.3764705882352941,0.2131726182256294,53.29498349579555,0.0,0.004355716878402904,0.0,0.0033897947219708392,0.005552823690507817
202596604,21919,0.4368423150510204,0.611764705882353,0.45098039215686275,0.34901960784313724,0.20024996993068975,51.865461865352444,0.0,0.0018705232902960901,0.0006843377891327159,0.013768784551018393,0.015987668065459416
