ID,Make,Model,camera_id,variable,value,iqr_lower,iqr_upper,iqr_outlier,robust_z,mad_outlier_abs_z_gt_3_5,historical_high_iso_outlier
100643124,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
20134065,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
202247956,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
9300938876-1,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001506620,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001870250,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001879182-1,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001902512,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001904186,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001904708-1,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001906652,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A001911401,HONOR,BVL-AN00,HONOR/BVL-AN00,aperture_value_from_f,2.0,1.851998837112446,1.851998837112446,True,,False,False
A002123222,HONOR,BVL-AN00,HONOR/BVL-AN00,time_value_from_t,8.813781191217052,4.143856189774724,8.143856189774723,True,2.6604605794353615,False,False
A002336585,HONOR,BVL-AN00,HONOR/BVL-AN00,time_value_from_t,8.679480099505447,4.143856189774724,8.143856189774723,True,2.5375447872780517,False,False
A002123222,HONOR,BVL-AN00,HONOR/BVL-AN00,EV100,10.665780028329497,5.99585502688717,9.99585502688717,True,2.660460579435361,False,False
A002336585,HONOR,BVL-AN00,HONOR/BVL-AN00,EV100,10.531478936617894,5.99585502688717,9.99585502688717,True,2.5375447872780525,False,False
A002123222,HONOR,BVL-AN00,HONOR/BVL-AN00,relative_optical_exposure,-10.665780028329497,-9.99585502688717,-5.99585502688717,True,-2.660460579435361,False,False
A002336585,HONOR,BVL-AN00,HONOR/BVL-AN00,relative_optical_exposure,-10.531478936617894,-9.99585502688717,-5.99585502688717,True,-2.5375447872780525,False,False
201771352,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
206151450,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
9300332900-1,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
A000314982,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
A001083428,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
A001923871-1,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
A001931767,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
A002076747,HONOR,BVL-AN00,HONOR/BVL-AN00,sensitivity_value,4.0,4.017107857668956,9.304820237218406,True,-2.663924042077086,False,False
201771352,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.2758550268871702,-1.252121335271099,-0.5205527659469233,True,-2.847845611939015,False,False
202356763,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.6960730680001923,-1.252121335271099,-0.5205527659469233,True,11.930435367230036,True,False
9300332900-1,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.3508175276083425,-1.252121335271099,-0.5205527659469233,True,-3.409639371777873,False,False
9300874275,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.36756144474644525,-1.252121335271099,-0.5205527659469233,True,9.468460670508597,True,False
A001266125,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,2.9341449731128293,-1.252121335271099,-0.5205527659469233,True,28.70328603612219,True,False
A001840235,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.3463929564708994,-1.252121335271099,-0.5205527659469233,True,-3.376480173097664,False,False
A001906810,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.2858550268871705,-1.252121335271099,-0.5205527659469233,True,-2.92278891751636,False,False
A001923658,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.42807616144522775,-1.252121335271099,-0.5205527659469233,True,9.921977961056912,True,False
A001923871-1,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.4188894327209702,-1.252121335271099,-0.5205527659469233,True,-3.919792730386625,True,False
A001956441,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.527783121774533,-1.252121335271099,-0.5205527659469233,True,-4.735878031805153,True,False
A001967399,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.36111056727902024,-1.252121335271099,-0.5205527659469233,True,9.420115662380274,True,False
A001987737-1,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.5522168782254671,-1.252121335271099,-0.5205527659469233,True,10.852329528282095,True,False
A002007995,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.3263929564708996,-1.252121335271099,-0.5205527659469233,True,-3.2265935619429804,False,False
A002011740,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-0.23320994894478364,-1.252121335271099,-0.5205527659469233,True,4.9660812565558246,True,False
A002053206,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-0.25528664552448177,-1.252121335271099,-0.5205527659469233,True,4.800631194764765,True,False
A002076747,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,-1.296886339275916,-1.252121335271099,-0.5205527659469233,True,-3.0054612190432475,False,False
A002081031-1,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.6941449731128295,-1.252121335271099,-0.5205527659469233,True,11.915985586797461,True,False
