ID,Make,Model,camera_id,variable,value,iqr_lower,iqr_upper,iqr_outlier,robust_z,mad_outlier_abs_z_gt_3_5,historical_high_iso_outlier
9300298484,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
9300706043,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
9300858338,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A000327597,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
A001534217,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
A001545475,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
A001570399,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001601356,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001602118,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001604205,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001616193,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.626872482823785,-8.35778389959103,-6.017933896706407,True,-1.3220066359982667,False,False
A001635014,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
A001657263,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.715772987412716,-8.35778389959103,-6.017933896706407,True,-1.424513171132691,False,False
A001677153,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001692604,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,combined_exposure_gain,-9.626872482823785,-9.432456265948197,-3.072254866708179,True,-2.6724951151345566,False,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,combined_exposure_gain,-2.7228123079894635,-9.432456265948197,-3.072254866708179,True,2.934745662846716,False,False
A001636890,Xiaomi,M2006J10C,Xiaomi/M2006J10C,combined_exposure_gain,-2.6794690970086115,-9.432456265948197,-3.072254866708179,True,2.9699475315885846,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,combined_exposure_gain,-9.715772987412716,-9.432456265948197,-3.072254866708179,True,-2.744697054557272,False,False
A001028520,Xiaomi,M2006J10C,Xiaomi/M2006J10C,sensitivity_value,8.12267271882414,3.938636688892219,7.937693596848595,True,2.895706282686,False,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,sensitivity_value,8.43562859405209,3.938636688892219,7.937693596848595,True,3.311108853439131,False,False
A001636890,Xiaomi,M2006J10C,Xiaomi/M2006J10C,sensitivity_value,8.478971805032943,3.938636688892219,7.937693596848595,True,3.3686405462153957,False,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_apex_pred,4.626872482823785,-1.9277451332918187,4.432456265948197,True,2.6724951151345566,False,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_apex_pred,-2.2771876920105365,-1.9277451332918187,4.432456265948197,True,-2.934745662846716,False,False
A001636890,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_apex_pred,-2.320530902991389,-1.9277451332918187,4.432456265948197,True,-2.969947531588585,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_apex_pred,4.715772987412716,-1.9277451332918187,4.432456265948197,True,2.744697054557272,False,False
203659997,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,5.627088376682949,5.664344977291006,6.681861906310066,True,-2.752065859075053,False,False
203959038,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,5.660766162437135,5.664344977291006,6.681861906310066,True,-2.5788955560536433,False,False
A000454833,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,3.812428282259627,5.664344977291006,6.681861906310066,True,-12.083001114908916,True,False
A001601356,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,6.908693675880719,5.664344977291006,6.681861906310066,True,3.837915431139118,True,False
A001621788,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,3.3977317566033403,5.664344977291006,6.681861906310066,True,-14.21535992062109,True,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,3.9731275171762146,5.664344977291006,6.681861906310066,True,-11.256689806649707,True,False
A001629085,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,3.64572866315829,5.664344977291006,6.681861906310066,True,-12.940166243401505,True,False
A001635014,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,3.1995098512188385,5.664344977291006,6.681861906310066,True,-15.234611829623141,True,False
A001641354,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,5.637283109002134,5.664344977291006,6.681861906310066,True,-2.699644809252444,False,False
A001642726,Xiaomi,M2006J10C,Xiaomi/M2006J10C,brightness_residual,4.202068416418077,5.664344977291006,6.681861906310066,True,-10.079481626008546,True,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,device_centered_brightness,-2.1176470463667814,-1.9705882237024226,2.029411752768166,True,-3.035203875882366,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,device_centered_brightness,2.058823517301037,-1.9705882237024226,2.029411752768166,True,2.950892657107855,False,False
