ID,Make,Model,camera_id,ExposureTime,FNumber,ISOSpeedRatings,BrightnessValue,log2_exposure_time,log2_iso_gain,aperture_value_from_f,time_value_from_t,EV100,relative_optical_exposure,combined_exposure_gain,sensitivity_value,brightness_apex_pred,brightness_residual,device_centered_brightness,skin_pixel_n,valid_skin_pixel_ratio,skin_median_r,skin_median_g,skin_median_b,skin_linear_luminance_median,skin_lab_l_median,overexposed_pixel_ratio,underexposed_pixel_ratio,saturated_pixel_ratio,laplacian_variance,high_frequency_noise_mad
100037382,Xiaomi,M2006J10C,Xiaomi/M2006J10C,0.040008,1.89,372.0,5.7,-4.643567679616601,1.8953026213333068,1.8367724688926959,4.643567679616601,6.480340148509297,-6.480340148509297,-4.585037527175991,6.895302621333307,-0.41496247282400933,6.1149624728240095,-0.9999999941176466,18940,0.37747130102040816,0.5607843137254902,0.39215686274509803,0.3137254901960784,0.1543215953614663,46.220508681294994,0.0,0.005702217529039071,0.00010559662090813094,0.020842125209796763,0.019121627389652937
100643124,HONOR,BVL-AN00,HONOR/BVL-AN00,0.04,2.0,640.0,-1.79,-4.643856189774724,2.678071905112638,2.0,4.643856189774724,6.643856189774724,-6.643856189774724,-3.9657842846620865,7.678071905112637,-1.034215715337913,-0.755784284662087,-1.0829493037652107,23672,0.47177933673469385,0.6627450980392157,0.5137254901960784,0.4235294117647059,0.2593113373806833,57.97162469868461,0.0,0.0006336600202771207,0.0002957080094626563,0.005524181443437539,0.009306385293672973
100960732,Xiaomi,M2006J10C,Xiaomi/M2006J10C,0.040008,1.89,547.0,5.0,-4.643567679616601,2.4515408330178317,1.8367724688926959,4.643567679616601,6.480340148509297,-6.480340148509297,-4.028799315491465,7.451540833017832,-0.9712006845085348,5.971200684508535,-1.4117646975778542,18746,0.3736049107142857,0.6078431372549019,0.4235294117647059,0.34901960784313724,0.1816581608073928,49.69661000076168,0.0,0.0036274405206444043,0.002293822682172197,0.005236847142100857,0.006231715731878829
101044067,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,800.0,-1.29,-5.643856189774724,3.0,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-4.49585502688717,8.0,-0.5041449731128296,-0.7858550268871705,-0.852534558283251,19485,0.38833306760204084,0.8235294117647058,0.611764705882353,0.4745098039215686,0.3890868318203871,68.6850666206988,0.0,0.00025660764690787786,5.132152938157557e-05,0.012287247724484553,0.017044586420025168
101295911,Xiaomi,M2006J10C,Xiaomi/M2006J10C,0.020004,1.89,93.0,8.8,-5.643567679616601,-0.10469737866669324,1.8367724688926959,5.643567679616601,7.480340148509297,-7.480340148509297,-7.585037527175991,4.895302621333307,2.5850375271759907,6.21496247282401,0.823529406920415,20510,0.4087611607142857,0.6627450980392157,0.47843137254901963,0.38823529411764707,0.234477541157462,55.53057886983831,0.0,0.0007313505607020966,0.0,0.0011655708963123092,0.006750114076135466
101377780,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,320.0,-0.07,-5.643856189774724,1.6780719051126378,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-5.817783121774532,6.678071905112637,0.817783121774533,-0.8877831217745331,-0.2903225793072693,20652,0.41159119897959184,0.7176470588235294,0.5450980392156862,0.4392156862745098,0.29697270126630254,61.39213584229989,0.0,0.000242107301956227,0.0001452643811737362,0.0053494206858535846,0.01174888785548751
101588739,Xiaomi,M2006J10C,Xiaomi/M2006J10C,0.030006,1.89,169.0,7.5,-5.058605178895445,0.7570232465074596,1.8367724688926959,5.058605178895445,6.895377647788141,-6.895377647788141,-6.138354401280681,5.75702324650746,1.1383544012806812,6.361645598719319,0.0588235290657437,20140,0.40138711734693877,0.6392156862745098,0.4627450980392157,0.3764705882352941,0.2147816004810542,53.468888033820875,0.0,0.003624627606752731,9.930486593843098e-05,0.016367153934404237,0.01597236018350728
101737098,Xiaomi,M2006J10C,Xiaomi/M2006J10C,0.010003,1.89,73.0,10.0,-6.643423446170754,-0.4540316308947075,1.8367724688926959,6.643423446170754,8.48019591506345,-8.48019591506345,-8.934227545958157,4.545968369105292,3.934227545958157,6.065772454041843,1.5294117557093414,20190,0.40238360969387754,0.8156862745098039,0.6313725490196078,0.5137254901960784,0.4063586327519528,69.92004306455706,0.0,0.0005943536404160475,0.005745418524021793,0.018552208590500153,0.020002734831840598
102400553,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0166666666666666,1.9,400.0,-0.09,-5.906890595608524,2.0,1.851998837112446,5.906890595608524,7.75888943272097,-7.75888943272097,-5.75888943272097,7.0,0.7588894327209701,-0.8488894327209701,-0.29953916912654766,16473,0.328304368622449,0.7294117647058823,0.5372549019607843,0.4235294117647059,0.2931818361175137,61.06142034063768,0.0,0.0009105809506465125,0.0007284647605172099,0.01995200785174197,0.022134291790761536
200088422,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0303030303030303,1.9,500.0,-1.45,-5.044394119358453,2.321928094887362,1.851998837112446,5.044394119358453,6.8963929564708994,-6.8963929564708994,-4.574464861583538,7.321928094887363,-0.4255351384164632,-1.0244648615835368,-0.9262672768374779,20026,0.3991151147959184,0.6549019607843137,0.5137254901960784,0.41568627450980394,0.25507801123914664,57.5668786284248,0.0,0.0016478577848796565,0.00034954559073204834,0.01247380726262321,0.01650059401603777
