scope,camera_id,variable,total_n,valid_n,missing_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad
device,HONOR/BVL-AN00,ExposureTime,283,283,0,29,0.0022222222222222,0.0035714285714285,0.0058823529411764,0.01,0.0166666666666666,0.02,0.0303030303030303,0.04,0.04,0.016159323604427005,0.008070079143774105,0.01,0.0066666666666666
device,Xiaomi/M2006J10C,ExposureTime,239,239,0,8,0.008496,0.010002,0.0100029,0.020004,0.020004,0.030006,0.040008,0.040008,0.050009,0.02468082008368201,0.008207715538848411,0.010002,0.010002
device,HONOR/BVL-AN00,FNumber,283,283,0,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,1.9042402826855123,0.02018633594253929,0.0,0.0
device,Xiaomi/M2006J10C,FNumber,239,239,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,9.567955637198567e-15,0.0,0.0
device,HONOR/BVL-AN00,ISOSpeedRatings,283,283,0,16,50.0,50.0,65.60000000000002,200.0,320.0,500.0,1000.0,1250.0,1600.0,384.3922261484099,277.694455942748,300.0,120.0
device,Xiaomi/M2006J10C,ISOSpeedRatings,239,239,0,169,50.0,58.519999999999996,75.9,135.5,192.0,271.0,469.59999999999997,809.8200000000007,1115.0,229.581589958159,152.54617924583835,135.5,63.0
device,HONOR/BVL-AN00,BrightnessValue,283,283,0,220,-2.67,-2.3644000000000003,-1.746,-0.615,0.56,1.5550000000000002,3.3589999999999995,4.343400000000001,5.43,0.573321554770318,1.5752911221866663,2.17,1.04
device,Xiaomi/M2006J10C,BrightnessValue,239,239,0,57,3.8,4.566,5.3,6.6,7.4,8.3,9.52,10.462,10.9,7.4251046025104595,1.2957742767964255,1.700000000000001,0.8000000000000007
device,HONOR/BVL-AN00,log2_exposure_time,283,283,0,29,-8.813781191217052,-8.129283016944996,-7.409390936137719,-6.643856189774724,-5.906890595608524,-5.643856189774724,-5.044394119358453,-4.643856189774724,-4.643856189774724,-6.1407719429326,0.7685035394843953,1.0,0.7369655941662003
device,Xiaomi/M2006J10C,log2_exposure_time,239,239,0,8,-6.87900051852002,-6.643567679616601,-6.643437869515338,-5.643567679616601,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.428504392107173,0.5266898220629239,0.5849625007211561,0.5849625007211561
device,HONOR/BVL-AN00,log2_iso_gain,283,283,0,16,-1.0,-1.0,-0.611663380285988,1.0,1.6780719051126378,2.321928094887362,3.321928094887362,3.643856189774725,4.0,1.5710093774473168,1.0872073643909457,1.3219280948873622,0.6780719051126378
