epoch,train_loss,inner_val_loss,inner_val_macro_auc
1,0.5541680306196213,0.6660668611526489,0.8239861949956859
2,0.40893051475286485,0.6125038862228394,0.813632441760138
3,0.3055409848690033,0.5546497344970703,0.8584987057808455
4,0.24729206338524817,0.6881057024002075,0.8291630716134598
5,0.23642931431531905,0.6166005730628967,0.8421052631578947
6,0.21054294407367707,0.6231128215789795,0.8421052631578947
7,0.223816929012537,0.647692221403122,0.8533218291630715
8,0.21040112227201463,0.6554012298583984,0.8265746333045729
9,0.22223223149776458,0.5974768877029419,0.8429680759275238
10,0.19850418865680694,0.5851206183433533,0.8395168248490077
11,0.18886819183826448,0.5987351894378662,0.8567730802415876
12,0.1960734747350216,0.5435050368309021,0.8593615185504745
13,0.19758886769413947,0.601809561252594,0.8628127696289906
14,0.18928702399134636,0.6071707606315613,0.8550474547023297
15,0.19188154488801956,0.5906754016876221,0.8584987057808453
16,0.1922903463244438,0.6162716448307037,0.8593615185504746
17,0.18163429647684098,0.5698824882507324,0.8610871440897325
18,0.18705122396349907,0.5626761019229889,0.8610871440897325
19,0.1827896498143673,0.5711982846260071,0.8584987057808455
20,0.17762672305107116,0.5849303483963013,0.8593615185504746
21,0.1839247986674309,0.5803139090538025,0.8593615185504745
22,0.1857772834599018,0.5769844233989716,0.8524590163934426
23,0.19029298424720764,0.6335049152374268,0.8438308886971526
