parameter,setting,n_success,median_abs_shift,p90_abs_shift,spearman_rank,stable_coverage_all_expected,originally_reliable_all_settings_stable_fraction
f_mel,epidermis_0.050mm,88,0.0018468648137694218,0.005284027300766107,0.9997358317776762,1.0,0.0
f_mel,epidermis_0.070mm,88,0.0011015817004773193,0.0040428640826977395,0.999788665422141,1.0,0.0
f_mel,observation_scale_0.95,88,0.005581881112135515,0.007178911516099285,0.9994012186960658,1.0,0.0
f_mel,observation_scale_1.05,88,0.005114843281769012,0.006613227558497729,0.9992955514071363,1.0,0.0
f_mel,observation_tilt_+0.02,88,0.0006516154393012719,0.0014407151965560429,0.999612553273925,1.0,0.0
f_mel,observation_tilt_-0.02,88,0.0006144346012275674,0.0014418024001644713,0.9997534429924978,1.0,0.0
f_mel,scattering_x0.8,88,0.012928969863979529,0.016659888335751855,0.9967947589024693,0.7386363636363636,0.0
f_mel,scattering_x1.2,88,0.01137649383991296,0.014740263991313386,0.9986615476735586,0.8977272727272727,0.0
f_mel,subset_420_680_gaussian_10nm,88,0.008693516629801064,0.0174178357407789,0.976717974005847,0.8181818181818182,0.0
f_mel,subset_420_680_gaussian_5nm,88,0.008641418238262283,0.017654297676920994,0.9747279067310066,0.8068181818181818,0.0
f_mel,subset_420_680_point,88,0.008660739917187209,0.01775861748308671,0.9741995702863584,0.7954545454545454,0.0
f_mel,whole_blood_hb_120gL,88,0.003685637951494125,0.004466162400956294,0.9978338205769435,1.0,0.0
f_mel,whole_blood_hb_180gL,88,0.0030619540120955056,0.003793406544038731,0.9973759289915819,1.0,0.0
f_blood,epidermis_0.050mm,88,0.0,0.002635037101777085,0.9184249632617519,0.10227272727272728,0.0
f_blood,epidermis_0.070mm,88,0.0,0.0017252114575867649,0.999299174583398,0.1590909090909091,0.0
f_blood,observation_scale_0.95,88,0.0,0.004531717723814263,0.9466269797308288,0.09090909090909091,0.0
f_blood,observation_scale_1.05,88,0.0,0.004373052363729911,0.9759742714147583,0.10227272727272728,0.0
f_blood,observation_tilt_+0.02,88,0.0,0.0037376429696171208,0.9540118032422373,0.14772727272727273,0.0
f_blood,observation_tilt_-0.02,88,0.0,0.0038417822749596737,0.9466681061337714,0.125,0.0
f_blood,scattering_x0.8,88,0.0,0.010981343208962704,0.9150094886198659,0.011363636363636364,0.0
f_blood,scattering_x1.2,88,0.0,0.008360368271325289,0.8862455501312795,0.0,0.0
f_blood,subset_420_680_gaussian_10nm,88,0.0,0.04561885186731561,0.7316181804623862,0.011363636363636364,0.0
f_blood,subset_420_680_gaussian_5nm,88,0.0,0.04702839963043891,0.7364922960872761,0.011363636363636364,0.0
f_blood,subset_420_680_point,88,0.0,0.04762299900839349,0.7318196924836039,0.0,0.0
f_blood,whole_blood_hb_120gL,88,0.0,0.015079636739623009,0.8542791506028043,0.0,0.0
f_blood,whole_blood_hb_180gL,88,0.0,0.01247644882734939,0.916383135665619,0.022727272727272728,0.0
s,epidermis_0.050mm,88,0.04306034027097934,0.08794843060990362,0.9402979817547815,0.5227272727272727,0.0
s,epidermis_0.070mm,88,0.0557766433339851,0.10256185518800513,0.925715895882498,0.4659090909090909,0.0
s,observation_scale_0.95,88,0.048886293321346974,0.07406685675531073,0.9160825613750838,0.5454545454545454,0.0
s,observation_scale_1.05,88,0.045665380164520986,0.07004853652094757,0.9197633052727978,0.6022727272727273,0.0
s,observation_tilt_+0.02,88,0.039829508492577104,0.06046639107014796,0.925328449156423,0.5909090909090909,0.0
s,observation_tilt_-0.02,88,0.04005516947693505,0.06068134135200696,0.9460216265718011,0.5568181818181818,0.0
s,scattering_x0.8,88,0.014883233313872965,0.055747798654788676,0.9405093163326408,0.5909090909090909,0.0
s,scattering_x1.2,88,0.022117641557364287,0.06950259942224979,0.947465746187172,0.5568181818181818,0.0
s,subset_420_680_gaussian_10nm,88,0.0434673191311907,0.1573117210310173,0.9343266234872133,0.3522727272727273,0.0
s,subset_420_680_gaussian_5nm,88,0.042793233280903786,0.1532584477729071,0.9259787606444754,0.42045454545454547,0.0
s,subset_420_680_point,88,0.04106291638191173,0.14957499004210875,0.9244126659856999,0.4318181818181818,0.0
s,whole_blood_hb_120gL,88,0.002081370918396719,0.0900439813460278,0.9345743369377622,0.5,0.0
s,whole_blood_hb_180gL,88,0.001534740906200871,0.07181775860091989,0.9227219893628265,0.6022727272727273,0.0
