subject_id,loo_reference_logrmse,model_logrmse,error_ratio,model_better
p003,0.19942233186280484,0.1663382850171708,0.8341005917612344,True
p004,0.1961600185690601,0.18460777653311733,0.9411080702366691,True
p005,0.20519065853645801,0.19593225844905363,0.9548790371187421,True
p006,0.22830437546010174,0.2022346767739498,0.8858116554550753,True
p007,0.2793176638239689,0.23479838635951064,0.8406141707797072,True
p008,0.23741435201223715,0.27077252653047273,1.1405061414169106,False
p009,0.3233401667292637,0.2630116011705314,0.8134207507561346,True
p010,0.19711704653199028,0.1864475724923016,0.9458723929391002,True
p011,0.3693586718374414,0.1364545264168801,0.3694363685521784,True
p012,0.23247836403188815,0.17655674524989573,0.7594545238010971,True
p013,0.250094124265705,0.1978032869153965,0.790915370347711,True
p014,0.34568635677763343,0.2934658793341507,0.8489368283716382,True
p015,0.214388489256651,0.17644586198486367,0.8230192889396919,True
p017,0.23025585117422653,0.16529821108095918,0.717889296788744,True
p018,0.29953492385587066,0.2629211633236235,0.8777646357195233,True
p019,0.16724128227467647,0.2135257797312013,1.2767528257796261,False
p020,0.2749657024720876,0.2237361020826365,0.813687307439183,True
p021,0.30492191094003795,0.19459253101428373,0.638171689316711,True
p022,0.3065119543421772,0.21308798599811102,0.6952028558084506,True
p023,0.15004516412391183,0.17810726845258348,1.1870243835749157,False
p024,0.1752656354886577,0.18531777793600318,1.0573537557395043,False
p025,0.08504882581167744,0.16564029680146736,1.9475906365626094,False
p026,0.19325914940189567,0.19639856915358947,1.0162446112456243,False
p027,0.12487568548756262,0.18061379756281518,1.4463487976672926,False
p028,0.11248279828794319,0.15238360622496028,1.354728087710581,False
p029,0.15649274045175385,0.19451563884471496,1.2429690877877075,False
p031,0.16234439010344334,0.1707628684363493,1.0518556774739296,False
p032,0.13636216509618193,0.18984764504522594,1.3922310848564077,False
p033,0.1532923288628275,0.1518260947961655,0.9904350460486899,True
p034,0.28994632106284995,0.1469619905361429,0.5068593041547398,True
p037,0.13389710366762522,0.1670387449997478,1.247515744734782,False
p038,0.17847453523784504,0.2200308793155642,1.2328418674537456,False
p040,0.18477607362527776,0.15472290452374554,0.8373535679598894,True
p041,0.16446905858432587,0.17595565711938843,1.0698404832734736,False
p042,0.2046362052899905,0.13103516325281267,0.640332257271495,True
p043,0.18965503076820464,0.13680675379048884,0.7213452405472615,True
p044,0.31754334481382424,0.21172109199306072,0.6667470613096705,True
p045,0.10838677643570199,0.17562034197209242,1.6203115153653012,False
p046,0.3321458428479792,0.27374241443309916,0.8241633015361541,True
p047,0.21426935109439,0.23875568956689697,1.1142783060080312,False
p048,0.1534812983312293,0.2190314875528967,1.427089097723183,False
p049,0.23241428006397058,0.22255164428289398,0.9575644156703195,True
p050,0.19914178163850516,0.18375217865482965,0.9227203710991615,True
p051,0.11429014741563796,0.18424711968035135,1.6120997640356651,False
