subject_id,n_cheeks,logrmse,rmse,sam_deg,signed_residual_400nm,signed_residual_410nm,signed_residual_420nm,signed_residual_430nm,signed_residual_440nm,signed_residual_450nm,signed_residual_460nm,signed_residual_470nm,signed_residual_480nm,signed_residual_490nm,signed_residual_500nm,signed_residual_510nm,signed_residual_520nm,signed_residual_530nm,signed_residual_540nm,signed_residual_550nm,signed_residual_560nm,signed_residual_570nm,signed_residual_580nm,signed_residual_590nm,signed_residual_600nm,signed_residual_610nm,signed_residual_620nm,signed_residual_630nm,signed_residual_640nm,signed_residual_650nm,signed_residual_660nm,signed_residual_670nm,signed_residual_680nm,signed_residual_690nm,signed_residual_700nm,loo_reference_logrmse,model_to_loo_error_ratio,model_better_than_loo
p003,2,0.1663382850171708,0.05266201786392545,8.590160400344026,-0.17534540520139358,-0.11649817103762626,-0.0330694033301452,-0.0004226398579982721,0.011255845887638519,0.02265664561674685,0.03228870071569723,0.04017023914266479,0.051272869823693,0.04724956341691894,0.03806295355899683,0.037417911381008334,0.021033366580209156,0.009522224966756532,-0.0010079344065448137,-0.03007909632320488,-0.014376817785073603,-0.03154882517756277,-0.027217124416549943,0.027453943160502453,0.03881936401861241,0.0004753918474924568,0.018254376266831296,0.0066127391794695844,0.014619597026728576,-0.03119916104660464,0.019581618369206077,-0.028746133967389564,0.03954850418582792,-0.049551501784113605,0.016140880008360614,0.19942233186280484,0.8341005917612344,True
p004,2,0.18460777653311733,0.051685214352495706,9.540666271467243,-0.18783592298217877,-0.1114239207102878,-0.03421990831307491,-0.006021985647900532,-0.0013357674999447122,0.015025347680066761,0.02460417118109265,0.03320752447648681,0.04556064150434355,0.04066804909236474,0.03732562988384808,0.03967381229493236,0.02711283476555508,0.016751658024000637,0.0044957451238756,-0.036914946676300575,-0.015329919511031465,-0.029552380615828863,-0.030000290269117838,0.011219383668462285,0.028128329793097928,0.0016594999640078822,0.018638991456683685,0.016063052971988623,0.026644707698151027,-0.012245249628321075,0.03236991728737537,-0.004521529612871694,0.055566730905559164,-0.014700050783349516,0.04369826500414695,0.1961600185690601,0.9411080702366691,True
p005,2,0.19593225844905363,0.05034183944577898,10.266527397849716,-0.19478627926306652,-0.11393254071456435,-0.03885175669273205,-0.009951884232373517,0.0022219735982545175,0.011882483128173998,0.017205114279732453,0.02430966013543047,0.035657211965254565,0.03417064322833982,0.031471470371025184,0.03232020331461341,0.021973380086490343,0.01733865635463673,0.01089292121178996,-0.0180547790602629,-0.006518978195345873,-0.01791283763029039,-0.011814370887011275,0.02121443878350815,0.028269304746240925,0.0021373450096390523,0.018732220204699224,0.01420922268175362,0.023212705206650308,-0.01264188875158781,0.028735736964282665,-0.005858313537016213,0.0517556924892319,-0.015188818919943559,0.0401842900453761,0.20519065853645801,0.9548790371187421,True
p006,2,0.2022346767739498,0.05235942323665736,10.823254939196724,-0.19169622281432347,-0.11304746506301204,-0.03902111264509968,-0.010976360703732535,0.0036131770185088424,0.011341019764700463,0.018147377394302375,0.025344446181511354,0.034936214219111236,0.035939924260710104,0.029858749212015367,0.029404533559910684,0.019666905460992756,0.011725809632052608,0.0026670739612708327,-0.021917790740712526,-0.012907041415818915,-0.024418688887597448,-0.02228675731270166,0.016209225713476744,0.029904181200361063,0.011177321511321114,0.03449804973886211,0.02798513734687047,0.03279457713550035,-0.005488794586418266,0.03234864533469889,-0.0031899145122012418,0.05198938923525567,-0.013473936440931922,0.04062097090775074,0.22830437546010174,0.8858116554550753,True
p007,2,0.23479838635951064,0.056784734980360685,12.888311449393445,-0.20743570566664465,-0.12774537626561122,-0.05173378875126647,-0.022859646948592147,-0.002470537431150416,0.004433807826416669,0.011312867378197769,0.020130739137119602,0.03278653443259366,0.0368811965663816,0.03511948790042367,0.034388540210707974,0.025316470771773014,0.017446443209695114,0.007705426616417599,-0.008626376238943467,-0.011073255638517021,-0.027215604864947035,-0.030721165723742186,0.007703154436327159,0.026759277785301933,0.013704129759702671,0.04045469316512906,0.03220961261090935,0.036612928978006776,0.0034685369069211436,0.03903254217947266,0.0069195380016822405,0.05851862349638584,-0.00321519703152251,0.04563309411579203,0.2793176638239689,0.8406141707797072,True
p008,2,0.27077252653047273,0.09105064554542447,15.190863875272049,-0.1941760292531194,-0.1504082806350217,-0.12774959429011512,-0.1513298659255774,-0.12252957410716334,-0.06084770520180982,0.0023758993764265157,0.02591699819986823,0.0435998977604162,0.05042542720663054,0.05659487872528146,0.03164875402832004,0.014907151295166898,0.03710384082549001,0.028384660949669946,-0.022534012906167494,0.01032851412027129,-0.0069775452281198025,0.01838836824781505,0.03576372280343773,0.06259806496345971,0.08805539622069258,0.0933895843422799,0.10288166184529277,0.11681066589121891,0.10897478461305934,0.10463384262263054,0.08682621012874225,0.14248416530194102,0.10299990365286574,0.1205190597818579,0.23741435201223715,1.1405061414169106,False
p009,2,0.2630116011705314,0.06234466301565855,15.265297248824915,-0.230810752584205,-0.15049857074008804,-0.07128503470011854,-0.0481151967107762,-0.01670708345771585,-0.012423429168853445,-0.002790551104691466,0.018148263391512945,0.024561561951725167,0.027614276242286753,0.02373588905008278,0.019850293937708166,0.01841139121249774,0.02510290863226057,0.01998908720310194,0.005777346989100457,0.006873081743454801,0.011156531888614929,0.01042368898106899,0.021623991619474467,0.027398758484088154,0.013349952643065766,0.031949791985271425,0.02736388233367723,0.04176187603867407,0.02784789723435649,0.05286310156495802,0.04205180584336926,0.0768870450441626,0.04895637845129791,0.07081334614166904,0.3233401667292637,0.8134207507561346,True
p010,2,0.1864475724923016,0.05627552208445631,9.69173537064087,-0.2061332787482614,-0.13365013742826481,-0.04848837846125138,-0.021115785993788758,0.009372855649770848,0.016364150808803615,0.020980149359804634,0.039489360494503065,0.04634618542412211,0.0451570649259706,0.038501287692312536,0.03384698294657934,0.026350904803748215,0.022738461836676743,0.011934398750388653,-0.009215476937132955,0.0029144289989941896,-0.005725443010869968,-0.01420602268456217,0.02550839398365584,0.043048533318221754,0.005978785109049256,0.015078209820577754,-0.0030619386629858747,0.011412660439950373,-0.018501120376606756,0.01743967023329232,-0.014741838140415603,0.03528778257508869,-0.02457358287175665,0.001777787515599677,0.19711704653199028,0.9458723929391002,True
p011,2,0.1364545264168801,0.051936966470860824,6.530982934324506,-0.14140862605265023,-0.11248409424362926,-0.02729115092782719,0.0019437560312570712,0.016723289678722913,0.03925801856908917,0.04393460812536154,0.06537278736810631,0.07214509099302485,0.06415304189712562,0.055947049982665614,0.049728343581657286,0.030951083957762582,0.007673029445676105,-0.021559571622788265,-0.053909021220349684,-0.026744465257265343,-0.047697122591147834,-0.07227617764886846,0.0047400257817130365,0.04650581242423288,0.0033642532855926444,0.015433082260893238,-0.010966876747160403,0.0022167981160932104,-0.0344669397203235,0.007384244032956788,-0.04033829032647174,0.028178615903134474,-0.05338594923463136,-0.017238342764764714,0.3693586718374414,0.3694363685521784,True
p012,2,0.17655674524989573,0.05691262120932,9.449509211726303,-0.1908272834970352,-0.12985344457138953,-0.04659585209950791,-0.01961200872302843,0.008528553769693775,0.016619063833873016,0.025569071981727365,0.0467882462471422,0.05305171352157423,0.05174469823409489,0.04070879430055699,0.03256947796704829,0.021923715119015474,0.014398462159213421,-0.002172303837425532,-0.016182919925512407,-0.014306348701310229,-0.02170865308316025,-0.03456681358727841,0.014436459427836973,0.0403264237636744,0.01128906099916624,0.031490571796404354,0.010704592889433623,0.02298735575327568,-0.004231495041233352,0.030034742725294716,0.0014754244631553226,0.05058022436925677,-0.0035398269780735903,0.02288428978897522,0.23247836403188815,0.7594545238010971,True
