epoch,lambda_pair,train_total_loss,train_supervised_loss,train_pair_loss,validation_masked_smooth_l1,learning_rate,val_masked_smooth_l1_M,val_masked_smooth_l1_H,val_mae_M,val_mae_H,val_rmse_M,val_rmse_H,val_mean_predictor_mae_M,val_mean_predictor_mae_H,val_prediction_mean_M,val_prediction_mean_H,val_target_mean_M,val_target_mean_H,val_prediction_variance_M,val_prediction_variance_H,val_target_variance_M,val_target_variance_H,val_variance_ratio_M,val_variance_ratio_H,val_zero_saturation_fraction_M,val_zero_saturation_fraction_H,val_one_saturation_fraction_M,val_one_saturation_fraction_H,val_pearson_M,val_pearson_H,val_spearman_M,val_spearman_H
1,0.1,0.1102165298819542,0.10961528088897467,0.006012490017147502,0.1035545839444313,0.0009960612933065818,0.010681500216395209,0.1964276676724674,0.03664372695016051,0.2430417950073176,0.046453071391579746,0.282368044425726,0.25288774479401205,0.25033884629319825,0.5216147049137673,0.5298877923540933,0.4971986025939059,0.49812038120817864,0.0892292977708864,0.002772749579858347,0.08505249445763427,0.08396737947917776,1.0491085339693669,0.033021747219656096,0.0,0.0,0.0,0.0,0.9930033683776855,0.29327863454818726,0.9956538389640067,0.2782572866605683
2,0.1,0.0986910898592323,0.0965704697566107,0.021206201058649458,0.09169288889747819,0.0009843072889837514,0.0059564917345791115,0.17742928606037728,0.025206557378761946,0.22347800490957312,0.03585287149038343,0.26347336829242884,0.25288774479401205,0.25033884629319825,0.4917460341727132,0.48646175552075194,0.4971986025939059,0.49812038120817864,0.07837383006607693,0.00887282925586877,0.08505249445763427,0.08396737947917776,0.9214759727607511,0.10566995553397084,0.0,0.0,0.0,0.0,0.9960708618164062,0.4460417926311493,0.9967779642446564,0.3889745245961331
3,0.1,0.09290753248035907,0.08999434415921569,0.029131882346072235,0.08791599267635627,0.000964923354701182,0.004701808058317889,0.17113017729439467,0.023434768909683684,0.21694326689626572,0.03195138720124905,0.2565652597175748,0.25288774479401205,0.25033884629319825,0.5058682841296455,0.5365136168476381,0.4971986025939059,0.49812038120817864,0.07888860873984543,0.016076898703969833,0.08505249445763427,0.08396737947917776,0.9275284545492178,0.19146600505683978,0.0,0.0,0.0,0.0,0.9970794320106506,0.4884311854839325,0.9971661788465279,0.4231508949286698
4,0.1,0.0902102148026228,0.08698363743275404,0.03226577400250826,0.08908262247701908,0.0009382151866819102,0.007927241748143198,0.17023800320589497,0.03205245439653014,0.21606285465846095,0.04126261284100417,0.25630998865309024,0.25288774479401205,0.25033884629319825,0.48248761221845304,0.4892474356243387,0.4971986025939059,0.49812038120817864,0.09209845407567285,0.009022918130368873,0.08505249445763427,0.08396737947917776,1.082842480552387,0.10745742199333942,0.0,0.0,0.0,0.0,0.9940706491470337,0.50394606590271,0.9969834814154529,0.43137316627550804
5,0.1,0.08931758707128465,0.08613999470882118,0.03177592376531102,0.08628284909514473,0.0009046039886902867,0.007090493411761077,0.1654752047785284,0.02972933641292836,0.21118209009895395,0.038028375367108395,0.250660212693216,0.25288774479401205,0.25033884629319825,0.5061015901056567,0.5062043844008406,0.4971986025939059,0.49812038120817864,0.09667053868471354,0.014279769630481887,0.08505249445763427,0.08396737947917776,1.1365985124970834,0.17006329980826643,0.0,0.0,0.0,0.0,0.9954561591148376,0.5168761610984802,0.9971537756400782,0.48981956215798444
6,0.1,0.08781413494721055,0.08441385465823113,0.03400280261454172,0.08249926771209162,0.0008646198293969955,0.004525040122603061,0.16047349530158017,0.023752672315661527,0.20611860193170212,0.030439293164986624,0.2464016763308804,0.25288774479401205,0.25033884629319825,0.502489218905324,0.4983267658054794,0.4971986025939059,0.49812038120817864,0.07635782016775405,0.01774591447795479,0.08505249445763427,0.08396737947917776,0.8977728478708976,0.2113429594686282,0.0,0.0,0.0,0.0,0.9970784187316895,0.5353443026542664,0.9974334991455344,0.5104294579156273
7,0.1,0.08658945001289249,0.08293878444358707,0.0365066559886327,0.08064407915363711,0.0008188932828794708,0.004769060632358907,0.15651909767491531,0.0240006479734134,0.20145439142548788,0.031023254158297292,0.2445345610216482,0.25288774479401205,0.25033884629319825,0.4791789892675921,0.47996074843236547,0.4971986025939059,0.49812038120817864,0.0824169953423042,0.02027051086514048,0.08505249445763427,0.08396737947917776,0.9690132649002688,0.24140935433345473,0.0,0.0,0.0,0.0,0.9969952702522278,0.5469599366188049,0.9973115107299713,0.5387249974170608
8,0.1,0.08490194450132549,0.08107543849647045,0.03826506010149606,0.07883513502121732,0.000768145484092009,0.0031843579179670024,0.15448591212446763,0.01927655526639532,0.19980925241415629,0.025342480700610938,0.24066786754932637,0.25288774479401205,0.25033884629319825,0.48853981347762165,0.5110713069992068,0.4971986025939059,0.49812038120817864,0.08167714168418094,0.017742223740656538,0.08505249445763427,0.08396737947917776,0.960314476430381,0.21129900505060129,0.0,0.0,0.0,0.0,0.9974343180656433,0.573604166507721,0.9975189497499687,0.5477493962160411
9,0.1,0.08407227992750704,0.08024546352885664,0.03826816373779438,0.08022228415593836,0.0007131767561367541,0.003698120765688337,0.15674644754618838,0.02141034594745281,0.20201397362154117,0.02733667011502177,0.24750629443634659,0.25288774479401205,0.25033884629319825,0.5066200174541791,0.461168793697675,0.4971986025939059,0.49812038120817864,0.08635723213445995,0.021488439814076887,0.08505249445763427,0.08396737947917776,1.0153403810804817,0.25591414126965334,0.0,0.0,0.0,0.0,0.9969013929367065,0.5401548147201538,0.9973301603957343,0.5075001205523012
10,0.1,0.08308736541233956,0.07917003575116396,0.0391732962468639,0.07932541739917891,0.0006548539886902865,0.0048753921811954225,0.1537754426171624,0.024479378959972455,0.19831981629087217,0.03128564918576389,0.24529579135641744,0.25288774479401205,0.25033884629319825,0.5090931467088332,0.46859147273811413,0.4971986025939059,0.49812038120817864,0.09007887690807503,0.02790623344943799,0.08505249445763427,0.08396737947917776,1.0590974136913112,0.3323461280146081,0.0,0.0,0.0,0.0,0.9961467385292053,0.5489135384559631,0.9974205012427139,0.5258215164672492
