fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,train,cheek_mean_log2_bg,179,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.00033269514469790002
0,train,cheek_mean_log2_bg,400,calibrated_nn,overall,ALL,relative_optical_exposure,0.0278947410925382
0,train,cheek_mean_log2_bg,400,calibrated_nn,overall,ALL,log2_iso_condition,-0.0064290805914980001
0,train,cheek_mean_log2_bg,221,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.014156718031978601
0,train,cheek_mean_log2_bg,221,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.022988506873380499
0,train,cheek_mean_log2_bg,179,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.0264666364544602
0,train,cheek_mean_log2_bg,179,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.00033269514469790002
0,train,forehead_minus_cheek_log2_y,390,raw,overall,ALL,relative_optical_exposure,0.021066791525399298
0,train,forehead_minus_cheek_log2_y,390,raw,overall,ALL,log2_iso_condition,-0.1146361001236586
0,train,forehead_minus_cheek_log2_y,217,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.15514926670560361
0,train,forehead_minus_cheek_log2_y,217,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.19704966680449709
0,train,forehead_minus_cheek_log2_y,173,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.092915092009366207
0,train,forehead_minus_cheek_log2_y,173,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.047823756610095802
0,train,forehead_minus_cheek_log2_y,390,residual_nn,overall,ALL,relative_optical_exposure,-0.0236152915079034
0,train,forehead_minus_cheek_log2_y,390,residual_nn,overall,ALL,log2_iso_condition,-0.034539613416106098
0,train,forehead_minus_cheek_log2_y,217,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.048564971518808502
0,train,forehead_minus_cheek_log2_y,217,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.023940470253110802
0,train,forehead_minus_cheek_log2_y,173,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0270983549060827
0,train,forehead_minus_cheek_log2_y,173,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.025532580648790298
0,train,forehead_minus_cheek_log2_y,390,calibrated_nn,overall,ALL,relative_optical_exposure,-0.0236152915079034
0,train,forehead_minus_cheek_log2_y,390,calibrated_nn,overall,ALL,log2_iso_condition,-0.034539613416106098
0,train,forehead_minus_cheek_log2_y,217,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.048564971518808502
0,train,forehead_minus_cheek_log2_y,217,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.023940470253110802
0,train,forehead_minus_cheek_log2_y,173,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0270983549060827
0,train,forehead_minus_cheek_log2_y,173,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.025532580648790298
0,train,forehead_minus_cheek_log2_rg,390,raw,overall,ALL,relative_optical_exposure,-0.1288337538530544
0,train,forehead_minus_cheek_log2_rg,390,raw,overall,ALL,log2_iso_condition,0.18701336696119489
0,train,forehead_minus_cheek_log2_rg,217,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.14303395636661681
0,train,forehead_minus_cheek_log2_rg,217,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.17664414600277289
0,train,forehead_minus_cheek_log2_rg,173,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.0168396382555424
0,train,forehead_minus_cheek_log2_rg,173,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.0272848165756681
0,train,forehead_minus_cheek_log2_rg,390,residual_nn,overall,ALL,relative_optical_exposure,0.023796240966382099
0,train,forehead_minus_cheek_log2_rg,390,residual_nn,overall,ALL,log2_iso_condition,-0.013760462917774399
0,train,forehead_minus_cheek_log2_rg,217,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.0080735608195923996
0,train,forehead_minus_cheek_log2_rg,217,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0095302520619394999
0,train,forehead_minus_cheek_log2_rg,173,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0049726697156271997
0,train,forehead_minus_cheek_log2_rg,173,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.0361642026019494
0,train,forehead_minus_cheek_log2_rg,390,calibrated_nn,overall,ALL,relative_optical_exposure,0.023796240966382099
0,train,forehead_minus_cheek_log2_rg,390,calibrated_nn,overall,ALL,log2_iso_condition,-0.013760462917774399
0,train,forehead_minus_cheek_log2_rg,217,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.0080735608195923996
0,train,forehead_minus_cheek_log2_rg,217,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0095302520619394999
0,train,forehead_minus_cheek_log2_rg,173,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0049726697156271997
0,train,forehead_minus_cheek_log2_rg,173,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.0361642026019494
0,train,forehead_minus_cheek_log2_bg,390,raw,overall,ALL,relative_optical_exposure,-0.20631361982384269
0,train,forehead_minus_cheek_log2_bg,390,raw,overall,ALL,log2_iso_condition,0.1076432306864475
0,train,forehead_minus_cheek_log2_bg,217,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.099908296441682004
0,train,forehead_minus_cheek_log2_bg,217,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.066034532594468495
0,train,forehead_minus_cheek_log2_bg,173,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.12872533361159449
0,train,forehead_minus_cheek_log2_bg,173,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.12555025371042111
0,train,forehead_minus_cheek_log2_bg,390,residual_nn,overall,ALL,relative_optical_exposure,0.01836580488964
0,train,forehead_minus_cheek_log2_bg,390,residual_nn,overall,ALL,log2_iso_condition,0.0074227668358298002
0,train,forehead_minus_cheek_log2_bg,217,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.01272402626476
0,train,forehead_minus_cheek_log2_bg,217,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0072830468486477003
0,train,forehead_minus_cheek_log2_bg,173,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.021537789527075302
0,train,forehead_minus_cheek_log2_bg,173,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.044096778606895398
0,train,forehead_minus_cheek_log2_bg,390,calibrated_nn,overall,ALL,relative_optical_exposure,0.01836580488964
0,train,forehead_minus_cheek_log2_bg,390,calibrated_nn,overall,ALL,log2_iso_condition,0.0074227668358298002
0,train,forehead_minus_cheek_log2_bg,217,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.01272402626476
0,train,forehead_minus_cheek_log2_bg,217,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0072830468486477003
0,train,forehead_minus_cheek_log2_bg,173,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.021537789527075302
0,train,forehead_minus_cheek_log2_bg,173,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.044096778606895398
0,val,cheek_mean_log2_y,100,raw,overall,ALL,relative_optical_exposure,-0.42411673380094339
0,val,cheek_mean_log2_y,100,raw,overall,ALL,log2_iso_condition,0.32418109267218043
0,val,cheek_mean_log2_y,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.10814731515036841
0,val,cheek_mean_log2_y,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.53501865504554647
0,val,cheek_mean_log2_y,54,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.21844476389112311
0,val,cheek_mean_log2_y,54,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.1030479800147395
0,val,cheek_mean_log2_y,100,residual_nn,overall,ALL,relative_optical_exposure,-0.039036134922596499
0,val,cheek_mean_log2_y,100,residual_nn,overall,ALL,log2_iso_condition,0.1227965052382982
0,val,cheek_mean_log2_y,46,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.172843726758074
0,val,cheek_mean_log2_y,46,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.20979178779537999
0,val,cheek_mean_log2_y,54,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.056031534801322697
0,val,cheek_mean_log2_y,54,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.18162063514251539
0,val,cheek_mean_log2_y,100,calibrated_nn,overall,ALL,relative_optical_exposure,-0.039036134922596499
0,val,cheek_mean_log2_y,100,calibrated_nn,overall,ALL,log2_iso_condition,0.1227965052382982
0,val,cheek_mean_log2_y,46,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.172843726758074
0,val,cheek_mean_log2_y,46,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.20979178779537999
0,val,cheek_mean_log2_y,54,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.056031534801322697
0,val,cheek_mean_log2_y,54,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.18162063514251539
0,val,cheek_mean_log2_rg,100,raw,overall,ALL,relative_optical_exposure,0.2089885881516827
0,val,cheek_mean_log2_rg,100,raw,overall,ALL,log2_iso_condition,-0.17268483704081231
0,val,cheek_mean_log2_rg,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.073527375803416103
0,val,cheek_mean_log2_rg,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.037011139868156497
0,val,cheek_mean_log2_rg,54,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.065253477340262003
0,val,cheek_mean_log2_rg,54,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.048569414183787699
0,val,cheek_mean_log2_rg,100,residual_nn,overall,ALL,relative_optical_exposure,0.018869393975690998
0,val,cheek_mean_log2_rg,100,residual_nn,overall,ALL,log2_iso_condition,0.023338060622983801
0,val,cheek_mean_log2_rg,46,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.1067394802785885
0,val,cheek_mean_log2_rg,46,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.0217603184149463
0,val,cheek_mean_log2_rg,54,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.26788919687891782
0,val,cheek_mean_log2_rg,54,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.078877643599887498
0,val,cheek_mean_log2_rg,100,calibrated_nn,overall,ALL,relative_optical_exposure,0.018869393975690998
0,val,cheek_mean_log2_rg,100,calibrated_nn,overall,ALL,log2_iso_condition,0.023338060622983801
0,val,cheek_mean_log2_rg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.1067394802785885
0,val,cheek_mean_log2_rg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.0217603184149463
0,val,cheek_mean_log2_rg,54,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.26788919687891782
0,val,cheek_mean_log2_rg,54,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.078877643599887498
0,val,cheek_mean_log2_bg,100,raw,overall,ALL,relative_optical_exposure,0.041911007084160803
0,val,cheek_mean_log2_bg,100,raw,overall,ALL,log2_iso_condition,-0.17536868399179609
0,val,cheek_mean_log2_bg,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.23977987566179321
