fold,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
0,cheek_mean_log2_y,raw,46,-1.7039150683597826,-1.6652657472534116,0.25058080731609744,54,-2.1951385499626133,-2.2105354316510861,0.4048372986044888,0.49122348160283069,0.54526968439767454,0.34273695775773311,1.4332375615881399
0,cheek_mean_log2_y,stage2a_ridge_calibrated,46,-1.9557108672455883,-1.9299638367299969,0.22321925512810378,54,-1.8897482830871444,-1.8872525970185769,0.44764146737809113,-0.065962584158443915,-0.04271123971141999,0.36228442470291139,-0.18207402709221088
0,cheek_mean_log2_y,stage2b_mlp_calibrated,46,-1.9446249103742066,-1.9357757934659041,0.23054906442582015,54,-1.9188747111575934,-1.9565583322935878,0.43259206396808092,-0.025750199216613145,0.020782538827683661,0.354419352267898,-0.072654608310296562
0,cheek_mean_log2_rg,raw,46,0.93668906234399363,0.94524182354365238,0.11272188665566808,54,1.0328476698260882,1.0523466675221083,0.13888335281355174,-0.096158607482094594,-0.10710484397845588,0.12753851396724919,-0.75395740855807136
0,cheek_mean_log2_rg,stage2a_ridge_calibrated,46,0.9885520795313959,0.99726273034265922,0.11295310860990393,54,0.96638158171925614,0.96544193240515797,0.14461735582818042,0.022170497812139756,0.031820797937501255,0.13103122126260228,0.16920011580833411
0,cheek_mean_log2_rg,stage2b_mlp_calibrated,46,0.98391084696618147,0.99507389030093962,0.10799738894684326,54,0.96898542377935215,0.9712458224017777,0.15061761641083118,0.014925423186829323,0.02382806789916192,0.13275706440536503,0.11242658350184302
0,cheek_mean_log2_bg,raw,46,-0.61327502165764136,-0.59987410916774864,0.15244634974732652,54,-0.5543036677959704,-0.55121394928113765,0.14177632057885492,-0.058971353861670961,-0.048660159886610987,0.14677217034777154,-0.40178838891555801
0,cheek_mean_log2_bg,stage2a_ridge_calibrated,46,-0.59787248792160241,-0.59509513534592717,0.14011040540286285,54,-0.57506493396793312,-0.55358026624014323,0.14486720279749848,-0.022807553953669291,-0.041514869105783947,0.1427026485407949,-0.1598257228361758
0,cheek_mean_log2_bg,stage2b_mlp_calibrated,46,-0.5952764920452992,-0.58826589592302359,0.13272668369361396,54,-0.57472046776608177,-0.56304565073657797,0.14523766342520675,-0.020556024279217433,-0.025220245186445611,0.13963208383309242,-0.14721562347940634
0,forehead_minus_cheek_log2_y,raw,46,0.014434139673689419,0.021318033014067952,0.25372832468519058,50,0.12901865215000036,0.12651008967692751,0.29760790114227698,-0.11458451247631093,-0.10519205666285955,0.27746890763005611,-0.4129634323896364
