epoch,train_loss,inner_val_macro_auc
1,0.654414314031601,0.8723037100949094
2,0.38720948398113253,0.8239861949956859
3,0.3102530337870121,0.9025021570319242
4,0.2684999078512192,0.8869715271786023
5,0.24040239453315734,0.8343399482312338
6,0.21836403533816337,0.9180327868852459
7,0.20315795615315438,0.8723037100949094
8,0.19960850477218628,0.8800690250215704
9,0.19555093869566917,0.90595340811044
10,0.19979259967803956,0.8878343399482312
11,0.19570910260081292,0.906816220880069
12,0.19272066354751588,0.911993097497843
13,0.19274281486868858,0.8878343399482314
14,0.2043590262532234,0.9214840379637619
15,0.1910823605954647,0.907679033649698
16,0.1902029685676098,0.91458153580673
17,0.20624613910913467,0.899913718723037
18,0.18602296337485313,0.9016393442622951
19,0.18488758206367492,0.902502157031924
20,0.1846217058598995,0.913718723037101
21,0.20039540082216262,0.8964624676445212
22,0.20623133704066277,0.9188955996548749
23,0.19015714824199675,0.8869715271786022
24,0.1886293724179268,0.903364969801553
