high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,canonical_unclipped_hash
0.0,0.15413870246085012,0,False,False,0.0,0.0,0.0,0.0,0.461996644295302,0.0,1,4286210045548087870,-0.04082757508842855,2f5a633311de32f4b3f85a3ea2605da8cb61ace4ec1d496560ac26d41c526510
0.0,0.14724552572706934,0,False,False,0.0,0.0,0.0,0.0,0.4413590604026846,0.0,2,12144698555681728694,0.07717077509718018,419e2cbfc83735c50f9faf7c3b9f9111c12e4a18a67bf15e4481d2a262000a4d
0.0,0.13400447427293066,0,False,False,0.0,0.0,0.0,0.0,0.40155201342281877,0.0,3,13543458578857933736,-0.2031807978110401,9cccd1fff51e1c9156fd5e8e005bf079a50fec95896e5cf5e528360d5bcd8b74
0.0,0.15441834451901565,0,False,False,0.0,0.0,0.0,0.0,0.4629194630872483,0.0,4,5805454314834015796,0.0558628687389251,dac38340865b326b0a06cd423360e6b2716ebb0e2cdac4b58087f0a3de042ad1
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019295302013422,0.0,5,10827442348568889344,-0.27303213067082704,2443ad5689878fd9f5d8000479fab65e8d60920eca8aa6d200ff4c0ef87d1d81
0.0,0.16259787472035794,0,False,False,0.0,0.0,0.0,0.0,0.4873322147651007,0.0,6,16780657471823359430,-0.31643870247509076,998fad90e88a899db17e8c3a07c048646e042d8fcfd19159222bf4dd8ad676ab
0.0,0.15116051454138701,0,False,False,0.0,0.0,0.0,0.0,0.45306208053691277,0.0,7,10187776467361643801,0.24339109606338205,dc607f13e98f5fc66fd8329d4972f5f901ddd147eaaba2f73d73ac3e4f838cf1
0.0,0.12807606263982102,0,False,False,0.0,0.0,0.0,0.0,0.3839765100671141,0.0,8,4219747814956848488,-0.09811265885338011,cb53b800c4b59d89454d0baa52ab2acd6e101eacfbd71e0076fd5a9511eb9086
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,9,16955958792051829935,-0.2389083855886977,28359364da82d3d835a1a8bf48ded13b729920e62015846803df3ece9010a1d9
0.0,0.15608221476510067,0,False,False,0.0,0.0,0.0,0.0,0.4677852348993289,0.0,10,2984918213272693846,-0.36165659797187744,ba634a9f52db0de3b633e65991204672011ee9008d98552738bc0d236709f251
0.0,0.1451761744966443,0,False,False,0.0,0.0,0.0,0.0,0.43523489932885906,0.0,11,17357571937665334148,0.11145008973468351,047afdc5578a75cffbc465afbd22337fecc707750d7512d4e42a7d5b03ddd941
0.0,0.1644854586129754,0,False,False,0.0,0.0,0.0,0.0,0.49307885906040266,0.0,12,5182029616138825082,-0.0868659253440095,92aa69c8adfa6500f0a51ff6699b30d2e7aa0a3f684cbd0e87a75c601c0c8635
0.0,0.1641219239373602,0,False,False,0.0,0.0,0.0,0.0,0.49186241610738257,0.0,13,15495196983995058011,-0.3522465032710599,421989d92b2d7efb6cb74c9b29402a875009fb4c86ef93d86dbb3716e453969a
0.0,0.16740771812080538,0,False,False,0.0,0.0,0.0,0.0,0.5018456375838927,0.0,14,4395895788764747977,0.04470939688758935,3078d9eda7ce6f42c51fe9281b8b918c219956f52ee980242b40f177dfc30a22
0.0,0.16744966442953022,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,15,7597135928298078873,0.18970638577206866,566a7418b6a74ddc274cadc4452cd6f65100dfbfd7b8f2cf83f5d518877a48b1
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,16,6397386625083688512,0.25375474790068697,20c15d863a20c70576fe84d1f477fa15ba320e858b2ff9dfb6b3620fe900c503
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,17,4033189020386559609,-0.32297491583841126,a760a18b72083205d6a5f2414dafb865b9f99e5fc396e5b411aa1232c264f6ee
0.0,0.13309563758389262,0,False,False,0.0,0.0,0.0,0.0,0.39886744966442955,0.0,18,11467243880455255859,-0.05767542014782473,1c29ad14079a70a522c43e880124ffa15035e9e308240e1e38c9983c5d184a80
0.0,0.16325503355704699,0,False,False,0.0,0.0,0.0,0.0,0.48913590604026846,0.0,19,4372933344626109149,-0.44612550250958816,052eded360ccae730552b39037c61687e15e8143d7e8d91d83adc1397a26da22
0.0,0.14577740492170022,0,False,False,0.0,0.0,0.0,0.0,0.43695469798657716,0.0,20,4597732384688253478,0.11403266089972297,2d515e05844f6faea9a6b2e9bed9af4608fd4efb197b52f27e00330701f34db1
0.0,0.16641498881431768,0,False,False,0.0,0.0,0.0,0.0,0.49878355704697985,0.0,21,7925831479457768666,0.019435763916291204,5de066597ec266450a44c0613fc7c06a07bdc1bdc4e1156f972b2ce212b99911
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,22,9330311082062875927,0.21731911353288913,fb4bfebf0c5ab7045b68dfb8e2cef9601906f175cb1a0962c9ce80f081824dcd
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,23,7824010533886259847,-0.23308651111614348,bce74f3f42e6e0b3ecad8bf41bf4c89b627ef1ef44b4a8e67f11d5da2f6b09ba
0.0,0.12520973154362416,0,False,False,0.0,0.0,0.0,0.0,0.37533557046979865,0.0,24,8753989373023572083,-0.09505092324694447,85e7e0cf2f51453056e31aa398eec7726e56ab029e8ce42ffc7325dba578cae0
0.0,0.13810123042505593,0,False,False,0.0,0.0,0.0,0.0,0.4137164429530201,0.0,25,17146032757065321046,-0.30691186259955683,ce74bc7c7098ec1efd06e9ee3fc9fd97f4328d08cd188149692058856c5eee38
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,26,5061278990938660281,-0.17307375565194333,cfa01daa0b2cbf360c77e4396467c3c711abb941ed2ce950b0c86a0759785ebf
0.0,0.1643596196868009,0,False,False,0.0,0.0,0.0,0.0,0.49278523489932885,0.0,27,18204428958054813700,0.06690054085993835,9d661cca2f207c65bf3e5bf8440d79e7a892caa138f7a742a7d34d5894095ebf
0.0,0.12869127516778522,0,False,False,0.0,0.0,0.0,0.0,0.3856543624161074,0.0,28,242466422682223274,-0.40070463615206814,f654fa339ead58a001db37a7b8d7462b16269af2b82b265f0f9dd533bc614597
0.0,0.16714205816554809,0,False,False,0.0,0.0,0.0,0.0,0.5008808724832214,0.0,29,5385481835795242042,-0.4401737338263088,e28c3a0e7700a3c9f8367d5cad5c8c7d3fc50b861318ad1928f80f690c3ac602
0.0,0.16568791946308725,0,False,False,0.0,0.0,0.0,0.0,0.49656040268456375,0.0,30,16942224641098778725,-0.48823327647737896,8bb0be2a68c67cd06e0c36fabe5c4eb4ce4c6cca65bd7012bf1e56597773e3e5
0.0,0.15604026845637584,0,False,False,0.0,0.0,0.0,0.0,0.46765939597315437,0.0,31,11181638425167905198,-0.31813555360770956,1eb26022548cf6d8c1087b8ea4fbf0b5f14a6e8123d3bf80a762cb118208090a
0.0,0.15343959731543624,0,False,False,0.0,0.0,0.0,0.0,0.45998322147651005,0.0,32,14930677185077064047,-0.2383958064487106,605dda04aeea24c5a2c2f901d9f14245f4123c7567100ea27f9183855bb95c1c
0.0,0.15369127516778525,0,False,False,0.0,0.0,0.0,0.0,0.4606543624161074,0.0,33,3774146228069263576,0.1318418567832711,fbfa50d447c2e94bc3a81b573e3858b6f8a0dcee8db4696f104a3ef33eccc1e5
0.0,0.15454418344519016,0,False,False,0.0,0.0,0.0,0.0,0.4630453020134228,0.0,34,8015107989491938010,-0.43516655961123296,3d60da9d612b97a7477d712c5a911fd216c162eaf58a145002cdf34c944087cc
0.0,0.1474692393736018,0,False,False,0.0,0.0,0.0,0.0,0.4419463087248322,0.0,35,1115062340158803497,0.017481410872618675,36c955a74fb9ddd38145c6908eb1336f0c199cec60f89d25391d0e040f28837e
0.0,0.11096196868008948,0,False,False,0.0,0.0,0.0,0.0,0.3327181208053691,0.0,36,17670975469201768739,-0.041833325135190724,3353ae00f8321bed61e62ae63f9e9115aceb733c59b34cf31a53c480ad277aca
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,37,7952195536723605435,-0.1671876303883998,dc42004370350d3ec5913c3e1cbb0399ec528db907e60002ef9098db6e2cba2d
0.0,0.16744966442953022,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,38,4955147964733725063,-0.10106712263083689,d830f4522d160223c6f9737813d4242a847f0949af216e2faf06bbcff2a43ebe
0.0,0.1338646532438479,0,False,False,0.0,0.0,0.0,0.0,0.4010486577181208,0.0,39,16934629714392245783,-0.37058650777047397,70ffce1edac3f219be8759a09ef69c221be4028d7f810cd0192e2368536d6f29
0.0,0.14572147651006712,0,False,False,0.0,0.0,0.0,0.0,0.4368288590604027,0.0,40,7568285050426459435,0.2969174420437305,8652200ad427aaa880032a65ab4351d0d2916f73db13fe56ffeb777f2d413311
0.0,0.12294463087248322,0,False,False,0.0,0.0,0.0,0.0,0.36845637583892615,0.0,41,2567798637735432566,0.19072077012375754,b338c65645eb0acb4121fd75afd1d411c69648dc8c9d4efaa09c763bc66a5ac4
0.0,0.15620805369127516,0,False,False,0.0,0.0,0.0,0.0,0.4681627516778524,0.0,42,2024689684974700448,-0.2379341991235659,d1c2c86270dcb734a78779f1e6f21355faa316f46b429fc2d3a3191776034edd
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,43,16235785789457233113,-0.19979477627200026,a3eda6a039c030b07766420040e4d7c2f9db5c1c37f232f6c95f871fa18cb950
0.0,0.1597035794183445,0,False,False,0.0,0.0,0.0,0.0,0.4785234899328859,0.0,44,11011381978595363959,-0.31673735350739357,ab1e85881deacdbdaa0f7ec2f9777c568abaf3e3cb025e68d4c876cdc6627506
