latent_id,m_base,h_base,mask_category,replicate,camera,light,valid_skin_fraction,retry_count,retry_exhausted,exposure_ev,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction
AM3_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Olympus E-PL2,FL2,1.0,1,False,0.2431428707851777,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Olympus E-PL2,FL11,1.0,1,False,-0.08508788080370538,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Olympus E-PL2,D65,1.0,1,False,0.07800885036055161,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Olympus E-PL2,A,1.0,1,False,-0.3893556915099877,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Olympus E-PL2,FL2,1.0,1,False,0.015058360248162872,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Olympus E-PL2,FL11,1.0,1,False,0.13908077035718291,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Olympus E-PL2,D65,0.923828125,1,False,0.2694876691446402,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Olympus E-PL2,A,0.923828125,1,False,-0.24795633571512882,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Olympus E-PL2,FL2,0.923828125,1,False,0.24037806651698568,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Olympus E-PL2,FL11,0.923828125,1,False,-0.37601078940581023,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Olympus E-PL2,D65,0.80584716796875,1,False,0.15515942281740647,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Olympus E-PL2,A,0.80584716796875,1,False,-0.1986767369846283,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Olympus E-PL2,FL2,0.80584716796875,1,False,0.2651288170606775,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Olympus E-PL2,FL11,0.80584716796875,1,False,0.015298116401550432,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Olympus E-PL2,D65,0.8998565673828125,1,False,-0.2149415514609837,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Olympus E-PL2,A,0.8998565673828125,1,False,-0.4225273984479473,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Olympus E-PL2,FL2,0.8998565673828125,1,False,-0.3040759422387,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Olympus E-PL2,FL11,0.8998565673828125,1,False,0.13494926599771362,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Olympus E-PL2,D65,0.7830810546875,1,False,-0.12630795329310723,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Olympus E-PL2,A,0.7830810546875,1,False,-0.2342552713322475,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Olympus E-PL2,FL2,0.7830810546875,1,False,0.17298174478735928,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Olympus E-PL2,FL11,0.7830810546875,1,False,-0.3908726836100035,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Olympus E-PL2,D65,0.928375244140625,1,False,0.1848742397150186,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
