epoch,train_loss,inner_val_loss,inner_val_macro_auc
1,0.6342550724744797,0.8485003113746643,0.7929249352890423
2,0.4344747871160507,0.7333997368812561,0.808455565142364
3,0.3008563660085201,1.2321207821369171,0.6902502157031924
4,0.2664477229118347,0.8180539727210998,0.7644521138912855
5,0.22205646485090255,0.7223681390285492,0.7955133735979292
6,0.22797762975096703,0.720317792892456,0.7739430543572045
7,0.2171611964702606,0.7167197227478027,0.7782571182053495
8,0.20890064537525177,0.7353201270103454,0.7842968075927523
9,0.21075406447052955,0.7192650079727173,0.7687661777394306
10,0.2049679197371006,0.7847351193428039,0.7351164797238999
11,0.1974053829908371,0.7177152991294861,0.7808455565142364
12,0.19815078303217887,0.7630494594573974,0.7911993097497843
