run_id,lambda_pair,best_epoch,M_mae,H_mae,M_variance_ratio,H_variance_ratio,noninferiority_status,viability_status,drift_score
lambda_0p05,0.05,25,0.01450152976892325,0.09756067433469577,0.9959689953756917,0.8202720599984434,PASS,PASS,0.009803104652265734
lambda_0p10,0.1,25,0.0170702862222431,0.18466748587735476,0.9962299465444099,0.36948584711939014,FAIL,PASS,
lambda_0p20,0.2,25,0.01618467477358964,0.19070256578748895,0.9931262820693516,0.292017473222931,FAIL,PASS,
lambda_0p50,0.5,25,0.014414523562987247,0.08890506736710764,0.993459347425314,0.751434683977757,PASS,PASS,0.1096332463498738
