epoch,train_loss,inner_val_macro_auc
1,0.6184183031320571,0.7739430543572045
2,0.42168903425335885,0.8334771354616047
3,0.3244804427027702,0.8136324417601379
4,0.2577065475285053,0.7963761863675582
5,0.24554207623004914,0.7937877480586714
6,0.23708215951919556,0.7773943054357205
7,0.21813606098294258,0.7937877480586712
8,0.2020625963807106,0.8067299396031061
9,0.2115410089492798,0.816220880069025
10,0.1983056001365185,0.8179465056082831
11,0.20143052712082862,0.822260569456428
12,0.20760554373264312,0.819672131147541
