epoch,train_loss,inner_val_macro_auc
1,0.667229238152504,0.8714408973252803
2,0.40157627761363984,0.8628127696289906
3,0.3058676317334175,0.907679033649698
4,0.2582077421247959,0.7955133735979292
5,0.2290419928729534,0.8800690250215704
6,0.2140471301972866,0.8308886971527178
7,0.20635211318731309,0.8567730802415875
8,0.20421306639909745,0.8360655737704918
9,0.20704853981733323,0.8766177739430543
10,0.20328231230378152,0.827437446074202
11,0.19699179157614707,0.8723037100949095
12,0.19306856393814087,0.8826574633304572
13,0.19456445053219795,0.8619499568593615
