camera_name,illuminant_count,qualified_pair_count,finite_fraction,worst_loocv_deltae00_median,worst_loocv_deltae00_p95,worst_resolution_rgb_error,worst_mh_sigma_ratio,status
Canon 1DMarkIII,4,4,1.0,0.971084431463,2.12056808336,0.00309450253816,0.0126192176274,PASS
Canon 20D,4,4,1.0,1.34314821003,3.19399203114,0.0023954873956,0.0139159007797,PASS
Canon 300D,4,4,1.0,0.97205702531,2.32082807229,0.00254328177007,0.0113581937716,PASS
Canon 40D,4,4,1.0,1.62538900233,2.67060564819,0.00272508477922,0.0120594528373,PASS
Canon 500D,4,4,1.0,1.00795077484,2.00217253972,0.00232985859753,0.00869398009712,PASS
Canon 50D,4,4,1.0,0.877308586577,2.04595385727,0.00149886571466,0.00923258121597,PASS
Canon 5DMarkII,4,4,1.0,1.09265861645,2.24669611332,0.00490432457295,0.0114500177735,PASS
Canon 600D,4,4,1.0,1.22790376993,2.38718342805,0.00198618260187,0.0108670810442,PASS
Canon 60D,4,4,1.0,1.01991283384,2.31044428427,0.00149442191401,0.0108440251138,PASS
Hasselblad H2,4,4,1.0,1.94944718771,4.48511058487,0.00290529956204,0.0156799148102,PASS
Nikon D200,4,4,1.0,1.05434224817,2.20018845461,0.00253167847003,0.0138529317578,PASS
Nikon D3,4,4,1.0,0.980596711856,2.21748313443,0.00300740291878,0.0140942235455,PASS
Nikon D300s,4,4,1.0,1.0241882593,2.80257667415,0.00276813269375,0.0131188074553,PASS
Nikon D3X,4,4,1.0,0.871464986556,2.38147109936,0.00380953522352,0.0127358018485,PASS
Nikon D40,4,4,1.0,0.839594805695,1.80012079918,0.00308884750082,0.0128672280923,PASS
Nikon D50,4,4,1.0,1.23324963772,2.40941277745,0.00358730012292,0.0139819020574,PASS
Nikon D5100,4,4,1.0,1.05038356365,2.43008501793,0.00311597236522,0.0113859125795,PASS
Nikon D700,4,4,1.0,0.952230218372,2.21085629059,0.00329268884133,0.0140794556512,PASS
Nikon D80,4,4,1.0,1.21917283565,2.95706607707,0.00503630664582,0.0148557062712,PASS
Nikon D90,4,4,1.0,0.991761918769,2.47448730186,0.00226229026607,0.0128396452616,PASS
Nokia N900,4,4,1.0,1.05253212613,2.73094650615,0.00381816126064,0.0114207270135,PASS
Olympus E-PL2,4,4,1.0,1.20772521384,3.08563953019,0.00737441319543,0.0133815325881,PASS
Pentax K-5,4,4,1.0,1.06318556607,2.46154611073,0.0026281554138,0.0112057017749,PASS
Pentax Q,4,4,1.0,1.34321447832,3.05604061406,0.0009066761198,0.00978685962958,PASS
Phase One,4,4,1.0,1.89114811122,3.89434090274,0.00204311174523,0.00814218879675,PASS
Point Grey Grasshopper 50S5C,4,1,1.0,5.52898676533,13.3915585208,0.00180800094581,0.0211423291867,PASS
Point Grey Grasshopper2 14S5C,4,4,1.0,2.58723851329,5.16979187075,0.00449926067467,0.0169707651417,PASS
SONY NEX-5N,4,4,1.0,0.853164297077,1.84714150263,0.00152780973216,0.0108035195907,PASS
