model_name,macro_auc,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,sensitivity,specificity
LATE_CONCAT,0.8203726708074535,0.77,0.6834239130434783,0.7012422360248447,0.6908452559532451,0.7012422360248447,0.8285714285714286,0.5739130434782609
MH_LRF,0.8043365330321852,0.754,0.6640363754995514,0.6817052512704687,0.6711212359424381,0.6817052512704687,0.8155844155844156,0.5478260869565217
MH_LRTM,0.8095765104460756,0.752,0.6759020259605206,0.7139469226425748,0.6868939883645766,0.7139469226425748,0.7844155844155845,0.6434782608695652
