condition,scope,macro_auc,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,sensitivity,specificity
B1_MH_ONLY,pooled_oof,0.8221569734613213,0.758,0.6589439655172413,0.6599096555618295,0.6594216360146139,0.6599096555618295,0.8415584415584415,0.4782608695652174
B2_MH_ONLY,pooled_oof,0.8055335968379447,0.754,0.6628376152832675,0.6786561264822135,0.6693388389760795,0.6786561264822135,0.8181818181818182,0.5391304347826087
B2_M_ONLY,pooled_oof,0.8165556182947488,0.766,0.6847300249687891,0.7138904573687183,0.6951839057102215,0.7138904573687183,0.8103896103896104,0.6173913043478261
B2_H_ONLY,pooled_oof,0.8380575945793337,0.78,0.6985180269851803,0.7229813664596274,0.7082166199813258,0.7229813664596274,0.8285714285714286,0.6173913043478261
